N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
90,RUE COMMANDANT CHARCOT,119,,,
122B,RUE COMMANDANT CHARCOT,69,28,59,"47,46%"
116,RUE COMMANDANT CHARCOT,57,,,
30,RUE FRANCOIS GENIN,45,,,
5,RUE JEUNET,38,,,
3,RUE JEUNET,34,,,
88B,RUE COMMANDANT CHARCOT,32,,,
1,RUE PIERRE VALDO,30,,,
124,RUE COMMANDANT CHARCOT,29,42,86,"48,84%"
88,RUE COMMANDANT CHARCOT,28,,,
15,RUE JEUNET,26,,,
126,RUE COMMANDANT CHARCOT,25,,,
43,RUE PIERRE VALDO,23,,,
7,RUE JEUNET,20,,,
3,RUE PIERRE VALDO,19,,,
11,RUE JEUNET,18,,,
1,RUE JEUNET,17,,,
96,RUE COMMANDANT CHARCOT,16,,,
68,RUE FRANCOIS GENIN,15,,,
8B,ALLEE DE LA SANTE,15,,,
22,RUE PIERRE VALDO,14,,,
122,RUE COMMANDANT CHARCOT,14,,,
12,ALLEE DE LA SANTE,13,,,
13,RUE JEUNET,12,,,
17,RUE JEUNET,11,,,
70,RUE FRANCOIS GENIN,9,,,
74,RUE FRANCOIS GENIN,9,,,
5,RUE DE TOURVIELLE,9,,,
120,RUE COMMANDANT CHARCOT,9,,,
120B,RUE COMMANDANT CHARCOT,8,,,
55,RUE FRANCOIS GENIN,8,,,
76,RUE FRANCOIS GENIN,8,,,
56,RUE PIERRE VALDO,7,,,
13B,IMPASSE DES MURES,7,,,
72,RUE FRANCOIS GENIN,7,,,
23,RUE DE TOURVIELLE,7,,,
19B,RUE DE TOURVIELLE,7,,,
78,RUE FRANCOIS GENIN,7,,,
66,RUE FRANCOIS GENIN,6,,,
92B,RUE COMMANDANT CHARCOT,6,,,
19,RUE DE TOURVIELLE,6,,,
54,RUE FRANCOIS GENIN,6,,,
21,RUE DE TOURVIELLE,6,,,
11,IMPASSE DES MURES,6,,,
102,RUE COMMANDANT CHARCOT,5,,,
3,RUE JEAN MARIE DUCLOS,5,,,
49,RUE PIERRE VALDO,5,,,
7,RUE DE TOURVIELLE,5,,,
8,ALLEE DE LA SANTE,5,,,
14,IMPASSE DES MURES,4,,,
108,RUE COMMANDANT CHARCOT,4,,,
65,RUE FRANCOIS GENIN,4,,,
50,RUE FRANCOIS GENIN,4,,,
34,RUE FRANCOIS GENIN,4,,,
57,RUE FRANCOIS GENIN,4,,,
8,RUE JEAN MARIE DUCLOS,4,,,
60,RUE FRANCOIS GENIN,3,,,
2B,IMPASSE DES MURES,3,,,
104,RUE COMMANDANT CHARCOT,3,,,
19T,RUE DE TOURVIELLE,3,,,
9,ALLEE DE LA SANTE,3,,,
5,IMPASSE EDMOND ROSTAND,3,,,
37,RUE PIERRE VALDO,3,,,
106,RUE COMMANDANT CHARCOT,3,,,
42,RUE FRANCOIS GENIN,3,,,
4,ALLEE DE LA SANTE,3,,,
1,IMPASSE EDMOND ROSTAND,3,,,
2,IMPASSE EDMOND ROSTAND,3,,,
13,ALLEE DE LA SANTE,3,,,
52,RUE FRANCOIS GENIN,3,,,
6,RUE JEAN MARIE DUCLOS,3,,,
48,RUE FRANCOIS GENIN,3,,,
3,RUE DE TOURVIELLE,3,,,
6,ALLEE DE LA SANTE,3,,,
7,ALLEE DE LA SANTE,3,,,
63,RUE FRANCOIS GENIN,3,,,
55B,RUE FRANCOIS GENIN,2,,,
9,IMPASSE DES MURES,2,,,
43B,RUE PIERRE VALDO,2,,,
122T,RUE COMMANDANT CHARCOT,2,,,
23B,RUE DE TOURVIELLE,2,,,
118,RUE COMMANDANT CHARCOT,2,,,
4,RUE JEAN MARIE DUCLOS,2,,,
61,RUE FRANCOIS GENIN,2,,,
67,RUE FRANCOIS GENIN,2,,,
7,RUE JEAN MARIE DUCLOS,2,,,
19,IMPASSE DES MURES,2,,,
51,RUE PIERRE VALDO,2,,,
23,RUE PIERRE VALDO,2,,,
15,IMPASSE DES MURES,2,,,
36,RUE FRANCOIS GENIN,2,,,
3,ALLEE DE LA SANTE,2,,,
21B,RUE DE TOURVIELLE,2,,,
12,RUE JEAN MARIE DUCLOS,2,,,
1,RUE JEAN MARIE DUCLOS,2,,,
11B,IMPASSE DES MURES,2,,,
64,RUE PIERRE VALDO,2,,,
9,RUE JEAN MARIE DUCLOS,2,,,
46,RUE FRANCOIS GENIN,2,,,
3,IMPASSE EDMOND ROSTAND,2,,,
64,RUE FRANCOIS GENIN,2,,,
21T,RUE DE TOURVIELLE,2,,,
11,RUE JEAN MARIE DUCLOS,2,,,
13,IMPASSE DES MURES,1,,,
90B,RUE COMMANDANT CHARCOT,1,,,
92,RUE COMMANDANT CHARCOT,1,,,
53,RUE FRANCOIS GENIN,1,,,
112B,RUE COMMANDANT CHARCOT,1,,,
20,RUE PIERRE VALDO,1,,,
16,RUE JEAN MARIE DUCLOS,1,,,
1,RUE DE TOURVIELLE,1,,,
2,IMPASSE DES MURES,1,,,
13,RUE JEAN MARIE DUCLOS,1,,,
22,RUE JEAN MARIE DUCLOS,1,,,
26,RUE PIERRE VALDO,1,,,
24,RUE JEAN MARIE DUCLOS,1,,,
39,RUE PIERRE VALDO,1,,,
6,RUE PIERRE VALDO,1,,,
10B,RUE JEAN MARIE DUCLOS,1,,,
10,ALLEE DE LA SANTE,1,,,
75,RUE FRANCOIS GENIN,1,,,
11,ALLEE DE LA SANTE,1,,,
14,RUE JEAN MARIE DUCLOS,1,,,
10,RUE JEAN MARIE DUCLOS,1,,,
