N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
13,RUE HECTOR BERLIOZ,55,,,
11,RUE HECTOR BERLIOZ,54,,,
23,RUE HECTOR BERLIOZ,51,,,
23,CHEMIN DE MONTPELLAS,46,,,
27,RUE HECTOR BERLIOZ,39,,,
9,CHEMIN DE MONTPELLAS,38,,,
21,RUE DES DOCTEURS CORDIER,38,,,
5,CHEMIN DE MONTPELLAS,37,,,
3,RUE HECTOR BERLIOZ,36,,,
5,RUE HECTOR BERLIOZ,35,,,
7,RUE HECTOR BERLIOZ,35,,,
11,CHEMIN DE MONTPELLAS,33,,,
7,CHEMIN DE MONTPELLAS,30,,,
17,RUE HECTOR BERLIOZ,29,,,
31,RUE HECTOR BERLIOZ,27,,,
1,RUE HECTOR BERLIOZ,26,,,
21,RUE HECTOR BERLIOZ,24,,,
18,CHEMIN DE MONTPELLAS,22,,,
6,CHEMIN DE MONTPELLAS,21,,,
16,CHEMIN DE MONTPELLAS,19,,,
15,RUE HECTOR BERLIOZ,19,,,
10,CHEMIN DE MONTPELLAS,18,,,
8,CHEMIN DE MONTPELLAS,15,,,
19,RUE DES DOCTEURS CORDIER,15,,,
35,RUE HECTOR BERLIOZ,15,,,
20,CHEMIN DE MONTPELLAS,14,,,
12,CHEMIN DE MONTPELLAS,13,,,
14,CHEMIN DE MONTPELLAS,12,,,
3,CHEMIN DE MONTPELLAS,4,,,
23B,CHEMIN DE MONTPELLAS,2,,,
19,RUE HECTOR BERLIOZ,2,,,
