N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
12,RUE DU FOUR A CHAUX,44,,,
8,RUE DU FOUR A CHAUX,44,,,
16,RUE FELIX MANGINI,44,,,
5,QUAI DU COMMERCE,41,,,
2,RUE EMILE DUPORT,36,,,
4,RUE FELIX MANGINI,36,,,
2,RUE FELIX MANGINI,33,,,
14,RUE DU FOUR A CHAUX,32,,,
10,RUE FELIX MANGINI,32,,,
12,RUE FELIX MANGINI,32,,,
19,RUE EMILE DUPORT,31,,,
4,QUAI DU COMMERCE,30,,,
25,RUE EMILE DUPORT,28,,,
31,RUE EMILE DUPORT,28,,,
35,RUE EMILE DUPORT,27,,,
9,RUE EMILE DUPORT,26,,,
46,QUAI PAUL SEDALLIAN,25,,,
23,RUE EMILE DUPORT,25,,,
11,RUE EMILE DUPORT,24,,,
15,RUE EMILE DUPORT,24,,,
29,RUE EMILE DUPORT,23,,,
10,RUE EMILE DUPORT,22,,,
44,QUAI PAUL SEDALLIAN,21,,,
13,RUE EMILE DUPORT,21,,,
1,RUE EMILE DUPORT,20,,,
3,RUE EMILE DUPORT,20,,,
19B,RUE EMILE DUPORT,18,,,
14,RUE FELIX MANGINI,18,,,
7,QUAI DU COMMERCE,17,,,
17,RUE EMILE DUPORT,17,,,
27,RUE EMILE DUPORT,17,,,
4,RUE EMILE DUPORT,17,,,
4,RUE ARSENE CLAUDY,16,,,
8,RUE DE LA MARTINIQUE,16,,,
24,RUE DES DOCKS,15,,,
78,RUE DES DOCKS,15,,,
2,RUE DE LA MARTINIQUE,14,,,
6,RUE EMILE DUPORT,14,,,
5,RUE DES BRASSERIES,13,,,
5,RUE EMILE DUPORT,13,,,
8,RUE FELIX MANGINI,13,,,
6,QUAI DU COMMERCE,12,,,
5,RUE DE LA SPARTERIE,12,,,
1,RUE ARSENE CLAUDY,11,,,
1,RUE DE LA MARTINIQUE,11,,,
68,RUE DES DOCKS,10,,,
59,QUAI PAUL SEDALLIAN,9,,,
3,RUE ARSENE CLAUDY,9,,,
1,RUE DE LA SPARTERIE,9,,,
27,RUE DES DOCKS,8,,,
74,RUE DES DOCKS,7,,,
13,RUE DE LA MARTINIQUE,6,,,
6,RUE DE LA MARTINIQUE,6,,,
3,RUE DE LA SPARTERIE,6,,,
38,RUE DES DOCKS,6,,,
4,RUE DE LA MARTINIQUE,5,,,
23,RUE DES DOCKS,5,,,
33,RUE DES DOCKS,5,,,
35,RUE DES DOCKS,5,,,
55,RUE DES DOCKS,5,,,
31,RUE DES DOCKS,4,,,
32,RUE DES DOCKS,4,,,
42,RUE DES DOCKS,4,,,
48,RUE DES DOCKS,4,,,
53,RUE DES DOCKS,4,,,
64,RUE DES DOCKS,4,,,
12,QUAI DU COMMERCE,2,,,
15,RUE ANTONIN LABORDE,2,,,
9,RUE DE LA MARTINIQUE,2,,,
19,RUE DES DOCKS,2,,,
25,RUE DES DOCKS,2,,,
34,RUE DES DOCKS,2,,,
36,RUE DES DOCKS,2,,,
46,RUE DES DOCKS,2,,,
70,RUE DES DOCKS,2,,,
1,QUAI DU COMMERCE,1,,,
55,QUAI PAUL SEDALLIAN,1,,,
5,RUE DE LA MARTINIQUE,1,,,
30,RUE DES DOCKS,1,,,
37,RUE DES DOCKS,1,,,
50,RUE DES DOCKS,1,,,
55B,RUE DES DOCKS,1,,,
57,RUE DES DOCKS,1,,,
59,RUE DES DOCKS,1,,,
66,RUE DES DOCKS,1,,,
72,RUE DES DOCKS,1,,,
15B,RUE EMILE DUPORT,1,,,
16B,RUE FELIX MANGINI,1,,,
8B,RUE FELIX MANGINI,1,,,
10,RUE JEAN MARCUIT,1,,,
