N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
1,RUE COMMANDANT CHARCOT,233,,,
9,BOULEVARD DES CASTORS,58,,,
21,BOULEVARD DES CASTORS,48,,,
42,RUE COMMANDANT CHARCOT,41,,,
68,B RUE COMMANDANT CHARCOT,38,,,
32,BOULEVARD DES CASTORS,38,,,
23,BOULEVARD DES CASTORS,34,,,
68,T RUE COMMANDANT CHARCOT,31,,,
70,RUE COMMANDANT CHARCOT,30,,,
34,RUE COMMANDANT CHARCOT,28,,,
64,RUE COMMANDANT CHARCOT,28,,,
28,RUE COMMANDANT CHARCOT,26,,,
60,RUE COMMANDANT CHARCOT,25,,,
40,RUE COMMANDANT CHARCOT,24,,,
66,RUE COMMANDANT CHARCOT,23,,,
68,RUE COMMANDANT CHARCOT,23,,,
46,RUE COMMANDANT CHARCOT,22,,,
48,B RUE COMMANDANT CHARCOT,20,,,
44,BOULEVARD DES CASTORS,18,,,
38,BOULEVARD DES CASTORS,16,,,
40,BOULEVARD DES CASTORS,16,,,
42,BOULEVARD DES CASTORS,16,,,
48,RUE COMMANDANT CHARCOT,14,,,
26,RUE COMMANDANT CHARCOT,12,,,
70,T RUE COMMANDANT CHARCOT,12,,,
44,B RUE COMMANDANT CHARCOT,10,,,
46,B RUE COMMANDANT CHARCOT,7,,,
20,RUE DE L OISEAU BLANC,6,,,
35,RUE COMMANDANT CHARCOT,5,,,
44,RUE COMMANDANT CHARCOT,5,,,
41,RUE DE GRANGE BRUYERE,5,,,
2,RUE DE L OISEAU BLANC,5,,,
3,RUE DE L OISEAU BLANC,5,,,
70,B RUE COMMANDANT CHARCOT,4,,,
13,RUE COMMANDANT CHARCOT,4,,,
32,RUE COMMANDANT CHARCOT,4,,,
21,RUE DE L OISEAU BLANC,4,,,
30,RUE DE L OISEAU BLANC,4,,,
6,RUE DU PANORAMA,4,,,
68,T RUE COMMANDANT CHARCOT,3,,,
50,RUE COMMANDANT CHARCOT,3,,,
52,RUE COMMANDANT CHARCOT,3,,,
49,RUE DE GRANGE BRUYERE,3,,,
10,RUE DE L OISEAU BLANC,3,,,
11,RUE DE L OISEAU BLANC,3,,,
13,RUE DE L OISEAU BLANC,3,,,
18,RUE DE L OISEAU BLANC,3,,,
23,RUE DE L OISEAU BLANC,3,,,
33,RUE DE L OISEAU BLANC,3,,,
38,RUE DE L OISEAU BLANC,3,,,
8,RUE DE L OISEAU BLANC,3,,,
35,B RUE COMMANDANT CHARCOT,2,,,
43,RUE DE GRANGE BRUYERE,2,,,
47,RUE DE GRANGE BRUYERE,2,,,
12,RUE DE L OISEAU BLANC,2,,,
14,RUE DE L OISEAU BLANC,2,,,
15,RUE DE L OISEAU BLANC,2,,,
17,RUE DE L OISEAU BLANC,2,,,
29,RUE DE L OISEAU BLANC,2,,,
36,RUE DE L OISEAU BLANC,2,,,
4,RUE DE L OISEAU BLANC,2,,,
42,RUE DE L OISEAU BLANC,2,,,
6,RUE DE L OISEAU BLANC,2,,,
9,RUE DE L OISEAU BLANC,2,,,
8,RUE DU PANORAMA,2,,,
1,B RUE COMMANDANT CHARCOT,1,,,
62,B RUE COMMANDANT CHARCOT,1,,,
5,B RUE DE L OISEAU BLANC,1,,,
31,RUE COMMANDANT CHARCOT,1,,,
62,RUE COMMANDANT CHARCOT,1,,,
16,RUE DE L OISEAU BLANC,1,,,
19,RUE DE L OISEAU BLANC,1,,,
26,RUE DE L OISEAU BLANC,1,,,
32,RUE DE L OISEAU BLANC,1,,,
34,RUE DE L OISEAU BLANC,1,,,
7,RUE DE L OISEAU BLANC,1,,,
66,T RUE COMMANDANT CHARCOT,1,,,
