N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
65,RUE DE SAINT CYR,226,,,
2,RUE MOUILLARD,111,,,
4,RUE MOUILLARD,69,,,
2,PLACE DE PARIS,61,,,
4,RUE DU 24 MARS 1852,51,,,
2,RUE DU 24 MARS 1852,48,,,
7,RUE DU 24 MARS 1852,41,,,
8,RUE DU 24 MARS 1852,33,,,
14,RUE DU 24 MARS 1852,32,,,
12,RUE DU 24 MARS 1852,30,,,
6,RUE DU 24 MARS 1852,30,,,
3,RUE DU 24 MARS 1852,27,,,
1,RUE DU 24 MARS 1852,25,,,
10,RUE DU 24 MARS 1852,25,,,
7,RUE AUGUSTE ISAAC,23,,,
5,RUE DU 24 MARS 1852,23,,,
3,RUE AUGUSTE ISAAC,19,,,
6,RUE AUGUSTE ISAAC,19,,,
9,IMPASSE MOUILLARD,17,,,
2,RUE AUGUSTE ISAAC,16,,,
11,IMPASSE MOUILLARD,14,,,
8,RUE AUGUSTE ISAAC,14,,,
6,IMPASSE MOUILLARD,13,,,
9,RUE AUGUSTE ISAAC,13,,,
16,RUE DU 24 MARS 1852,13,,,
49,RUE DU 24 MARS 1852,12,,,
148,AV. DU 25E REG. DES TIR. SENEGALAIS,11,,,
4,RUE AUGUSTE ISAAC,11,,,
24,RUE MOUILLARD,11,,,
144,AV. DU 25E REG. DES TIR. SENEGALAIS,10,,,
5,RUE AUGUSTE ISAAC,10,,,
9B,IMPASSE MOUILLARD,9,,,
142,AV. DU 25E REG. DES TIR. SENEGALAIS,8,,,
1,RUE AUGUSTE ISAAC,8,,,
130,AV. DU 25E REG. DES TIR. SENEGALAIS,6,,,
146,AV. DU 25E REG. DES TIR. SENEGALAIS,6,,,
122,AV. DU 25E REG. DES TIR. SENEGALAIS,5,,,
150,AV. DU 25E REG. DES TIR. SENEGALAIS,5,,,
65B,RUE DE SAINT CYR,4,,,
25,RUE AUGUSTE ISAAC,3,,,
158,AV. DU 25E REG. DES TIR. SENEGALAIS,2,,,
4,IMPASSE MOUILLARD,2,,,
4B,IMPASSE MOUILLARD,2,,,
5,IMPASSE MOUILLARD,2,,,
21,RUE AUGUSTE ISAAC,2,,,
29,RUE AUGUSTE ISAAC,2,,,
31,RUE AUGUSTE ISAAC,2,,,
33,RUE AUGUSTE ISAAC,2,,,
2B,RUE MOUILLARD,2,,,
164,AV. DU 25E REG. DES TIR. SENEGALAIS,1,,,
2B,IMPASSE MOUILLARD,1,,,
7,IMPASSE MOUILLARD,1,,,
11,RUE AUGUSTE ISAAC,1,,,
13,RUE AUGUSTE ISAAC,1,,,
17,RUE AUGUSTE ISAAC,1,,,
19,RUE AUGUSTE ISAAC,1,,,
23,RUE AUGUSTE ISAAC,1,,,
35,RUE AUGUSTE ISAAC,1,,,
1,RUE MOUILLARD,1,,,
22,RUE MOUILLARD,1,,,
3B,RUE MOUILLARD,1,,,
