N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
43,QUAI PIERRE SCIZE,55,,,
48,QUAI PIERRE SCIZE,50,,,
89,MONTEE DE L OBSERVANCE,48,,,
1,RUE DOCTEUR RAFIN,48,,,
21B,RUE DOCTEUR RAFIN,48,,,
91,MONTEE DE L OBSERVANCE,46,,,
11,MONTEE DE L OBSERVANCE,34,,,
21,MONTEE DE L OBSERVANCE,28,,,
21,RUE DOCTEUR RAFIN,28,,,
71,MONTEE DE L OBSERVANCE,26,,,
17,MONTEE DE L OBSERVANCE,23,,,
15,MONTEE DE L OBSERVANCE,22,,,
13,MONTEE DE L OBSERVANCE,21,,,
19,MONTEE DE L OBSERVANCE,19,,,
69,MONTEE DE L OBSERVANCE,17,,,
17,QUAI PIERRE SCIZE,14,,,
38,QUAI PIERRE SCIZE,13,,,
19,RUE DOCTEUR RAFIN,13,,,
23,QUAI PIERRE SCIZE,11,,,
23,MONTEE DE L OBSERVANCE,10,,,
21,QUAI PIERRE SCIZE,10,,,
19,QUAI PIERRE SCIZE,9,,,
20,QUAI PIERRE SCIZE,9,,,
25,RUE DOCTEUR RAFIN,9,,,
4,MONTEE DE LA CHANA,8,,,
31,QUAI PIERRE SCIZE,8,,,
3,MONTEE DE L OBSERVANCE,7,,,
65,MONTEE DE L OBSERVANCE,7,,,
36,QUAI PIERRE SCIZE,7,,,
12,MONTEE DU GREILLON,6,,,
28,QUAI PIERRE SCIZE,6,,,
33,QUAI PIERRE SCIZE,6,,,
40,QUAI PIERRE SCIZE,6,,,
32T,RUE DE MONTAUBAN,6,,,
5,MONTEE DE L OBSERVANCE,5,,,
67,MONTEE DE L OBSERVANCE,5,,,
87,MONTEE DE L OBSERVANCE,5,,,
27,QUAI PIERRE SCIZE,5,,,
35,QUAI PIERRE SCIZE,5,,,
39,QUAI PIERRE SCIZE,5,,,
44,QUAI PIERRE SCIZE,5,,,
45,QUAI PIERRE SCIZE,5,,,
49,QUAI PIERRE SCIZE,5,,,
23B,RUE DOCTEUR RAFIN,5,,,
34,QUAI PIERRE SCIZE,4,,,
37,QUAI PIERRE SCIZE,4,,,
41,QUAI PIERRE SCIZE,4,,,
47,QUAI PIERRE SCIZE,4,,,
50,QUAI PIERRE SCIZE,4,,,
32,RUE DE MONTAUBAN,4,,,
17,RUE DOCTEUR RAFIN,4,,,
23,RUE DOCTEUR RAFIN,4,,,
65B,MONTEE DE L OBSERVANCE,3,,,
81,MONTEE DE L OBSERVANCE,3,,,
83,MONTEE DE L OBSERVANCE,3,,,
8,MONTEE DE LA CHANA,3,,,
20,MONTEE DE LA SARRA,3,,,
18,QUAI PIERRE SCIZE,3,,,
42,QUAI PIERRE SCIZE,3,,,
51,QUAI PIERRE SCIZE,3,,,
20,RUE DE MONTAUBAN,3,,,
10B,RUE DOCTEUR RAFIN,3,,,
31,RUE DOCTEUR RAFIN,3,,,
55,MONTEE DE L OBSERVANCE,2,,,
61B,MONTEE DE L OBSERVANCE,2,,,
75,MONTEE DE L OBSERVANCE,2,,,
77,MONTEE DE L OBSERVANCE,2,,,
5,MONTEE DE LA SARRA,2,,,
22,QUAI PIERRE SCIZE,2,,,
25,QUAI PIERRE SCIZE,2,,,
32,QUAI PIERRE SCIZE,2,,,
46,QUAI PIERRE SCIZE,2,,,
52,QUAI PIERRE SCIZE,2,,,
28,RUE DE MONTAUBAN,2,,,
30,RUE DE MONTAUBAN,2,,,
34,RUE DE MONTAUBAN,2,,,
10,RUE DOCTEUR RAFIN,2,,,
27,RUE DOCTEUR RAFIN,2,,,
33,RUE DOCTEUR RAFIN,2,,,
59,MONTEE DE L OBSERVANCE,1,,,
61,MONTEE DE L OBSERVANCE,1,,,
65C,MONTEE DE L OBSERVANCE,1,,,
71,Montée de l'Observance,1,,,
24,QUAI PIERRE SCIZE,1,,,
26,QUAI PIERRE SCIZE,1,,,
29,QUAI PIERRE SCIZE,1,,,
43B,QUAI PIERRE SCIZE,1,,,
32B,RUE DE MONTAUBAN,1,,,
36,RUE DE MONTAUBAN,1,,,
3,RUE DOCTEUR RAFIN,1,,,
35,RUE DOCTEUR RAFIN,1,,,
