N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
27,RUE SOEUR BOUVIER,90,,,
87,RUE DU FORT SAINT IRENEE,79,,,
6,RUE SOEUR BOUVIER,72,,,
52,BOULEVARD DES CASTORS,69,,,
2,RUE SOEUR BOUVIER,47,,,
24,RUE SOEUR BOUVIER,45,,,
39,RUE DU FORT SAINT IRENEE,36,,,
31,RUE SOEUR BOUVIER,32,,,
32,RUE SOEUR BOUVIER,30,,,
30,RUE SOEUR BOUVIER,28,,,
12,RUE SOEUR BOUVIER,27,,,
33,RUE SOEUR BOUVIER,27,,,
1,RUE DU FORT SAINT IRENEE,26,,,
14,RUE SOEUR BOUVIER,23,,,
18,RUE SOEUR BOUVIER,23,,,
20,RUE SOEUR BOUVIER,17,,,
62,BOULEVARD DES CASTORS,15,,,
16,RUE SOEUR BOUVIER,15,,,
26,RUE SOEUR BOUVIER,15,,,
60,BOULEVARD DES CASTORS,11,,,
63,BOULEVARD DES CASTORS,11,,,
1,RUE SOEUR BOUVIER,11,,,
59,BOULEVARD DES CASTORS,10,,,
61,BOULEVARD DES CASTORS,10,,,
64,BOULEVARD DES CASTORS,10,,,
65,BOULEVARD DES CASTORS,10,,,
58,BOULEVARD DES CASTORS,8,,,
3,RUE DU FORT SAINT IRENEE,7,,,
55,RUE DU FORT SAINT IRENEE,6,,,
57,RUE DU FORT SAINT IRENEE,6,,,
15,RUE SOEUR BOUVIER,6,,,
57,BOULEVARD DES CASTORS,5,,,
72,BOULEVARD DES CASTORS,5,,,
20,RUE DE L AUBE,5,,,
5,RUE DU FORT SAINT IRENEE,5,,,
77,RUE DU FORT SAINT IRENEE,5,,,
28,RUE SOEUR BOUVIER,5,,,
7,ALLEE DES TROENES,4,,,
55,BOULEVARD DES CASTORS,4,,,
81,RUE DU FORT SAINT IRENEE,4,,,
85,RUE DU FORT SAINT IRENEE,4,,,
9,ALLEE DES TROENES,3,,,
77,BOULEVARD DES CASTORS,3,,,
10,RUE DE L AUBE,3,,,
12,RUE DE L AUBE,3,,,
14,RUE DE L AUBE,3,,,
21,RUE DE L AUBE,3,,,
28,RUE DE L AUBE,3,,,
22,RUE SOEUR BOUVIER,3,,,
13,ALLEE DES TROENES,2,,,
3,ALLEE DES TROENES,2,,,
67,B BOULEVARD DES CASTORS,2,,,
3,B RUE DU FORT SAINT IRENEE,2,,,
66,BOULEVARD DES CASTORS,2,,,
67,BOULEVARD DES CASTORS,2,,,
68,BOULEVARD DES CASTORS,2,,,
70,BOULEVARD DES CASTORS,2,,,
74,BOULEVARD DES CASTORS,2,,,
75,BOULEVARD DES CASTORS,2,,,
78,BOULEVARD DES CASTORS,2,,,
79,BOULEVARD DES CASTORS,2,,,
18,RUE DE L AUBE,2,,,
6,RUE DE L AUBE,2,,,
79,RUE DU FORT SAINT IRENEE,2,,,
11,RUE SOEUR BOUVIER,2,,,
3,T RUE DU FORT SAINT IRENEE,2,,,
1,ALLEE DES TROENES,1,,,
11,ALLEE DES TROENES,1,,,
5,ALLEE DES TROENES,1,,,
24,B RUE SOEUR BOUVIER,1,,,
73,BOULEVARD DES CASTORS,1,,,
76,BOULEVARD DES CASTORS,1,,,
1,RUE DE L AUBE,1,,,
16,RUE DE L AUBE,1,,,
2,RUE DE L AUBE,1,,,
8,RUE DE L AUBE,1,,,
83,RUE DU FORT SAINT IRENEE,1,,,
29,RUE SOEUR BOUVIER,1,,,
24,T RUE SOEUR BOUVIER,1,,,
2,rue soeur bouvier,1,,,
