N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
28,RUE SOEUR JANIN,127,44,87,"50,57%"
36,RUE SOEUR JANIN,99,,,
33,RUE SOEUR JANIN,94,,,
18,RUE SOEUR JANIN,75,,,
79,RUE DOCTEUR EDMOND LOCARD,43,,,
77,RUE DOCTEUR EDMOND LOCARD,41,,,
81,RUE DOCTEUR EDMOND LOCARD,39,,,
43,RUE DOCTEUR EDMOND LOCARD,33,,,
80,RUE DOCTEUR EDMOND LOCARD,27,,,
45,RUE DOCTEUR EDMOND LOCARD,27,,,
34,RUE SOEUR JANIN,20,,,
32,RUE SOEUR JANIN,19,,,
51,RUE DOCTEUR EDMOND LOCARD,18,,,
47,RUE DOCTEUR EDMOND LOCARD,17,,,
42,RUE SOEUR JANIN,16,,,
24,RUE DE CHAMPVERT,16,,,
26,RUE DE CHAMPVERT,14,,,
28,RUE DE CHAMPVERT,14,,,
24,RUE SOEUR JANIN,13,,,
49,RUE DOCTEUR EDMOND LOCARD,12,,,
22,RUE SOEUR JANIN,12,,,
44,RUE SOEUR JANIN,10,,,
89B,RUE DOCTEUR EDMOND LOCARD,10,,,
22,RUE DE CHAMPVERT,10,,,
89,RUE DOCTEUR EDMOND LOCARD,10,,,
40,RUE SOEUR JANIN,10,,,
57,RUE DOCTEUR EDMOND LOCARD,10,,,
30,RUE SOEUR JANIN,9,,,
87,RUE DOCTEUR EDMOND LOCARD,9,,,
29,RUE SOEUR JANIN,8,,,
31,RUE SOEUR JANIN,8,,,
20,RUE SOEUR JANIN,8,,,
87B,RUE DOCTEUR EDMOND LOCARD,8,,,
32,RUE DE CHAMPVERT,7,,,
98,RUE DOCTEUR EDMOND LOCARD,6,,,
38,RUE SOEUR JANIN,6,,,
100,RUE DOCTEUR EDMOND LOCARD,6,,,
27,RUE SOEUR JANIN,6,,,
38,RUE DOCTEUR EDMOND LOCARD,5,,,
106,RUE DOCTEUR EDMOND LOCARD,5,,,
36,RUE DOCTEUR EDMOND LOCARD,4,,,
10,RUE SOEUR JANIN,4,,,
40,RUE DOCTEUR EDMOND LOCARD,4,,,
24,IMPASSE DU POINT DU JOUR,4,,,
27,IMPASSE DU POINT DU JOUR,4,,,
20,RUE DE CHAMPVERT,4,,,
50,RUE DOCTEUR EDMOND LOCARD,4,,,
87T,RUE DOCTEUR EDMOND LOCARD,4,,,
26,IMPASSE DU POINT DU JOUR,3,,,
6,RUE SOEUR JANIN,3,,,
2,RUE SOEUR JANIN,3,,,
30,RUE DE CHAMPVERT,3,,,
4,RUE SOEUR JANIN,2,,,
16,RUE SOEUR JANIN,2,,,
8,RUE SOEUR JANIN,2,,,
14,RUE SOEUR JANIN,2,,,
36B,RUE DOCTEUR EDMOND LOCARD,1,,,
33,RUE SOEUR JANIN,1,,,
25,IMPASSE DU POINT DU JOUR,1,,,
23,IMPASSE DU POINT DU JOUR,1,,,
81B,RUE DOCTEUR EDMOND LOCARD,1,,,
12,RUE SOEUR JANIN,1,,,
