N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
17,RUE ERNEST FABREGUE,179,,,
15,RUE ERNEST FABREGUE,55,,,
45,RUE HECTOR BERLIOZ,44,,,
19,RUE ERNEST FABREGUE,43,,,
4,RUE MARC BOEGNER,37,,,
43,RUE HECTOR BERLIOZ,33,,,
6,RUE ERNEST FABREGUE,30,,,
13,RUE ERNEST FABREGUE,29,,,
4,RUE ERNEST FABREGUE,27,,,
1,RUE GABRIEL CHEVALLIER,26,,,
1B,RUE MARC BOEGNER,25,,,
2,RUE MARC BOEGNER,25,,,
41,RUE HECTOR BERLIOZ,24,,,
42,RUE MARECHAL DE LATTRE DE TASSIGNY,20,,,
3,RUE GABRIEL CHEVALLIER,19,,,
2B,RUE LOUIS BOUQUET,17,,,
12B,RUE LOUIS BOUQUET,15,,,
192,RUE DE SAINT CYR,13,,,
6,RUE LOUIS BOUQUET,12,,,
2B,RUE ERNEST FABREGUE,11,,,
49,RUE HECTOR BERLIOZ,9,,,
1,RUE ERNEST FABREGUE,8,,,
15B,RUE ERNEST FABREGUE,8,,,
17B,RUE ERNEST FABREGUE,8,,,
2,RUE ERNEST FABREGUE,8,,,
19,RUE JEAN BAPTISTE CHOPIN,8,,,
10B,RUE ERNEST FABREGUE,6,,,
8,RUE ERNEST FABREGUE,6,,,
3,RUE CAMILLE DE NEUVILLE,5,,,
18,RUE ERNEST FABREGUE,5,,,
16,RUE JEAN BAPTISTE CHOPIN,5,,,
20,RUE JEAN BAPTISTE CHOPIN,5,,,
5,RUE CAMILLE DE NEUVILLE,4,,,
11,RUE ERNEST FABREGUE,4,,,
22,RUE ERNEST FABREGUE,4,,,
18,RUE JEAN BAPTISTE CHOPIN,4,,,
26,RUE JEAN BAPTISTE CHOPIN,4,,,
12,RUE LOUIS BOUQUET,4,,,
3,RUE MARC BOEGNER,4,,,
2,RUE CAMILLE DE NEUVILLE,3,,,
194,RUE DE SAINT CYR,3,,,
10,RUE ERNEST FABREGUE,3,,,
12,RUE ERNEST FABREGUE,3,,,
24,RUE ERNEST FABREGUE,3,,,
28,RUE ERNEST FABREGUE,3,,,
3,RUE ERNEST FABREGUE,3,,,
12,RUE JEAN BAPTISTE CHOPIN,3,,,
16B,RUE JEAN BAPTISTE CHOPIN,3,,,
10,RUE LOUIS BOUQUET,3,,,
1,RUE CAMILLE DE NEUVILLE,2,,,
4,RUE CAMILLE DE NEUVILLE,2,,,
7,RUE CAMILLE DE NEUVILLE,2,,,
14,RUE ERNEST FABREGUE,2,,,
16,RUE ERNEST FABREGUE,2,,,
1B,RUE ERNEST FABREGUE,2,,,
3B,RUE ERNEST FABREGUE,2,,,
9,RUE ERNEST FABREGUE,2,,,
4,RUE GABRIEL CHEVALLIER,2,,,
8,RUE GABRIEL CHEVALLIER,2,,,
10,RUE JEAN BAPTISTE CHOPIN,2,,,
22,RUE JEAN BAPTISTE CHOPIN,2,,,
24,RUE JEAN BAPTISTE CHOPIN,2,,,
27,RUE JEAN BAPTISTE CHOPIN,2,,,
30,RUE JEAN BAPTISTE CHOPIN,2,,,
1,RUE MARC BOEGNER,2,,,
18,RUE MARC BOEGNER,2,,,
3B,RUE MARC BOEGNER,2,,,
19,B RUE ERNEST FABREGUE,1,,,
10,RUE CAMILLE DE NEUVILLE,1,,,
11,RUE CAMILLE DE NEUVILLE,1,,,
6,RUE CAMILLE DE NEUVILLE,1,,,
9,RUE CAMILLE DE NEUVILLE,1,,,
15C,RUE ERNEST FABREGUE,1,,,
17G,RUE ERNEST FABREGUE,1,,,
19B,RUE ERNEST FABREGUE,1,,,
5,RUE ERNEST FABREGUE,1,,,
6,RUE GABRIEL CHEVALLIER,1,,,
10T,RUE JEAN BAPTISTE CHOPIN,1,,,
2T,RUE LOUIS BOUQUET,1,,,
4,RUE LOUIS BOUQUET,1,,,
2,T RUE CAMILLE DE NEUVILLE,1,,,
