N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
18,RUE CHINARD,47,,,
18,RUE ROGER SALENGRO,42,,,
31,RUE ROGER SALENGRO,35,,,
5,RUE MASARYK,34,,,
30,RUE DE BOURGOGNE,28,,,
32,RUE DE BOURGOGNE,28,,,
6,RUE ROGER SALENGRO,28,,,
15,RUE MASARYK,27,,,
10,RUE ROGER SALENGRO,27,,,
17,RUE MASARYK,26,,,
44,RUE DE LA CLAIRE,25,,,
22,RUE ROGER SALENGRO,25,,,
32,RUE ROGER SALENGRO,25,,,
16,RUE CHINARD,24,,,
13,RUE MASARYK,24,,,
40,RUE DE BOURGOGNE,23,,,
24,RUE LAPORTE,23,,,
12,RUE CHINARD,22,,,
17,RUE DE SAINT CYR,22,,,
17,RUE LAPORTE,20,,,
1,RUE CHINARD,19,,,
19,RUE DE SAINT CYR,19,,,
14,RUE ROGER SALENGRO,19,,,
40,RUE DE LA CLAIRE,18,,,
11,RUE DE SAINT CYR,17,,,
8,RUE CHINARD,16,,,
21,RUE LAPORTE,16,,,
36,RUE ROGER SALENGRO,16,,,
23,RUE LAPORTE,15,,,
9,RUE DE SAINT CYR,14,,,
15,RUE LAPORTE,14,,,
30,RUE DE LA CLAIRE,13,,,
7,RUE DE SAINT CYR,13,,,
7,RUE CHINARD,12,,,
13,RUE LAPORTE,12,,,
37,RUE ROGER SALENGRO,12,,,
15,RUE DE SAINT CYR,11,,,
5,RUE DE SAINT CYR,10,,,
20,RUE CHINARD,9,,,
34,RUE DE BOURGOGNE,9,,,
35,RUE ROGER SALENGRO,9,,,
50,RUE DE LA CLAIRE,8,,,
34,RUE ROGER SALENGRO,8,,,
39,RUE ROGER SALENGRO,8,,,
28,RUE DE BOURGOGNE,7,,,
34,RUE DE LA CLAIRE,6,,,
28,QUAI JAYR,5,,,
2,RUE CHINARD,5,,,
47,RUE DE LA CLAIRE,5,,,
48,RUE DE LA CLAIRE,5,,,
44,RUE DE BOURGOGNE,4,,,
28,RUE DE LA CLAIRE,4,,,
32,RUE DE LA CLAIRE,4,,,
36,RUE DE LA CLAIRE,4,,,
43,RUE DE LA CLAIRE,4,,,
20,RUE LAPORTE,4,,,
29,RUE LAPORTE,4,,,
42,RUE DE LA CLAIRE,3,,,
46,RUE DE LA CLAIRE,3,,,
3,RUE LAPORTE,3,,,
31,RUE MASARYK,3,,,
14B,RUE CHINARD,2,,,
36,RUE DE BOURGOGNE,2,,,
49,RUE DE LA CLAIRE,2,,,
26,QUAI JAYR,1,,,
24,RUE DE LA CLAIRE,1,,,
38,RUE DE LA CLAIRE,1,,,
14,RUE LAPORTE,1,,,
9,RUE LAPORTE,1,,,
16,RUE TRANSVERSALE,1,,,
