N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
13,QUAI DES ETROITS,3,,,
60,MONTEE DE CHOULANS,3,,,
19,MONTEE SAINT LAURENT,3,,,
15,RUE DES TROIS ARTICHAUTS,3,,,
28,RUE DE LA QUARANTAINE,2,,,
126,MONTEE DE CHOULANS,2,,,
8,AVENUE DEBROUSSE,2,,,
102,MONTEE DE CHOULANS,2,,,
14B,QUAI DES ETROITS,2,,,
28,MONTEE SAINT LAURENT,2,,,
14,AVENUE DEBROUSSE,2,,,
45,MONTEE DE CHOULANS,2,,,
20,MONTEE SAINT LAURENT,2,,,
9B,AVENUE DEBROUSSE,2,,,
34,QUAI FULCHIRON,2,,,
139,MONTEE DE CHOULANS,2,,,
110,MONTEE DE CHOULANS,2,,,
11,AVENUE DEBROUSSE,2,,,
129,MONTEE DE CHOULANS,2,,,
145C,IMPASSE DE CHOULANS,2,,,
17,MONTEE SAINT LAURENT,2,,,
43,MONTEE SAINT LAURENT,2,,,
13B,QUAI DES ETROITS,2,,,
11A,QUAI DES ETROITS,1,,,
11C,QUAI DES ETROITS,1,,,
17B,RUE DE LA QUARANTAINE,1,,,
50,MONTEE DE CHOULANS,1,,,
5,RUE DES TROIS ARTICHAUTS,1,,,
101A,MONTEE DE CHOULANS,1,,,
4,AVENUE DEBROUSSE,1,,,
143,MONTEE DE CHOULANS,1,,,
7,AVENUE DEBROUSSE,1,,,
8,IMPASSE DE CHOULANS,1,,,
145B,MONTEE DE CHOULANS,1,,,
28,MONTEE DE CHOULANS,1,,,
145E,MONTEE DE CHOULANS,1,,,
32,MONTEE DE CHOULANS,1,,,
145B,IMPASSE DE CHOULANS,1,,,
15,MONTEE SAINT LAURENT,1,,,
46,MONTEE SAINT LAURENT,1,,,
125,MONTEE DE CHOULANS,1,,,
31,MONTEE SAINT LAURENT,1,,,
8,MONTEE DES GENOVEFAINS,1,,,
47,MONTEE DE CHOULANS,1,,,
21,MONTEE SAINT LAURENT,1,,,
1B,AVENUE DEBROUSSE,1,,,
123,MONTEE DE CHOULANS,1,,,
1,AVENUE DEBROUSSE,1,,,
25,MONTEE SAINT LAURENT,1,,,
