N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
199,RUE JOLIOT CURIE,74,,,
179,RUE JOLIOT CURIE,63,,,
181,RUE JOLIOT CURIE,57,,,
183,RUE JOLIOT CURIE,56,,,
169,RUE JOLIOT CURIE,50,,,
167,RUE JOLIOT CURIE,49,,,
23,RUE ABBE PAPON,49,,,
177,RUE JOLIOT CURIE,48,,,
171,RUE JOLIOT CURIE,35,,,
163,RUE JOLIOT CURIE,35,,,
13,RUE ABBE PAPON,33,,,
5,RUE ABBE PAPON,29,,,
15,RUE ABBE PAPON,26,,,
7,RUE ABBE PAPON,25,,,
3,RUE ABBE PAPON,23,,,
11,RUE ABBE PAPON,23,,,
9,RUE ABBE PAPON,22,,,
191,RUE JOLIOT CURIE,21,,,
197,RUE JOLIOT CURIE,20,,,
1,RUE ABBE PAPON,19,,,
193,RUE JOLIOT CURIE,19,,,
163T,RUE JOLIOT CURIE,19,,,
165,RUE JOLIOT CURIE,18,,,
19,RUE ABBE PAPON,16,,,
163B,RUE JOLIOT CURIE,15,,,
165B,RUE JOLIOT CURIE,14,,,
195,RUE JOLIOT CURIE,14,,,
203,RUE JOLIOT CURIE,11,,,
17,RUE ABBE PAPON,11,,,
21,RUE ABBE PAPON,8,,,
207,RUE JOLIOT CURIE,2,,,
199B,RUE JOLIOT CURIE,2,,,
199A,RUE JOLIOT CURIE,1,,,
5B,RUE ABBE PAPON,1,,,
