N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
122,RUE SAINT GEORGES,33,,,
5,RUE DE LA QUARANTAINE,30,,,
10,RUE DE LA QUARANTAINE,26,,,
8,RUE DE LA QUARANTAINE,24,,,
23,QUAI FULCHIRON,20,,,
16,RUE DE LA QUARANTAINE,20,,,
3,RUE DE LA QUARANTAINE,20,,,
31,RUE DU DOYENNE,19,,,
94,RUE SAINT GEORGES,19,,,
4,RUE DE LA QUARANTAINE,18,,,
41,RUE SAINT GEORGES,16,,,
39,MONTEE DU GOURGUILLON,14,,,
7,PLACE BENOIT CREPU,13,,,
3,PLACE FRANCOIS BERTRAS,13,,,
108,RUE SAINT GEORGES,13,,,
4,MONTEE DES EPIES,12,,,
14,MONTEE DU GOURGUILLON,12,,,
5,PLACE BENOIT CREPU,12,,,
44,RUE SAINT GEORGES,12,,,
21,QUAI FULCHIRON,11,,,
114,RUE SAINT GEORGES,11,,,
120,RUE SAINT GEORGES,11,,,
10,MONTEE DES EPIES,10,,,
43,MONTEE DU GOURGUILLON,10,,,
28,RUE DU DOYENNE,10,,,
26,QUAI FULCHIRON,9,,,
25,RUE DU DOYENNE,9,,,
116,RUE SAINT GEORGES,9,,,
13,MONTEE DES EPIES,8,,,
19,MONTEE DES EPIES,8,,,
37,MONTEE DU GOURGUILLON,8,,,
24,QUAI FULCHIRON,8,,,
100,RUE SAINT GEORGES,8,,,
31,RUE SAINT GEORGES,8,,,
78,RUE SAINT GEORGES,8,,,
2,B RUE DE LA QUARANTAINE,7,,,
21,MONTEE DES EPIES,7,,,
5,MONTEE DES EPIES,7,,,
9,PLACE BENOIT CREPU,7,,,
20,QUAI FULCHIRON,7,,,
22,QUAI FULCHIRON,7,,,
27,QUAI FULCHIRON,7,,,
1,RUE DE LA QUARANTAINE,7,,,
12,RUE DE LA QUARANTAINE,7,,,
118,RUE SAINT GEORGES,7,,,
16,RUE SAINT GEORGES,7,,,
72,RUE SAINT GEORGES,7,,,
98,RUE SAINT GEORGES,7,,,
11,MONTEE DU GOURGUILLON,6,,,
13,MONTEE DU GOURGUILLON,6,,,
31,MONTEE DU GOURGUILLON,6,,,
48,MONTEE DU GOURGUILLON,6,,,
12,PLACE BENOIT CREPU,6,,,
6,PLACE BENOIT CREPU,6,,,
3,RUE ARMAND CALLIAT,6,,,
7,RUE ARMAND CALLIAT,6,,,
110,RUE SAINT GEORGES,6,,,
46,RUE SAINT GEORGES,6,,,
69,RUE SAINT GEORGES,6,,,
88,RUE SAINT GEORGES,6,,,
11,MONTEE DES EPIES,5,,,
38,MONTEE DU GOURGUILLON,5,,,
25,QUAI FULCHIRON,5,,,
2,RUE DE LA QUARANTAINE,5,,,
102,RUE SAINT GEORGES,5,,,
106,RUE SAINT GEORGES,5,,,
11,RUE SAINT GEORGES,5,,,
45,RUE SAINT GEORGES,5,,,
53,RUE SAINT GEORGES,5,,,
56,RUE SAINT GEORGES,5,,,
27,B MONTEE DU GOURGUILLON,4,,,
1,MONTEE DES EPIES,4,,,
14,MONTEE DES EPIES,4,,,
18,MONTEE DES EPIES,4,,,
26,MONTEE DES EPIES,4,,,
33,MONTEE DES EPIES,4,,,
7,MONTEE DES EPIES,4,,,
24,MONTEE DU GOURGUILLON,4,,,
41,MONTEE DU GOURGUILLON,4,,,
11,PLACE BENOIT CREPU,4,,,
15,QUAI FULCHIRON,4,,,
104,RUE SAINT GEORGES,4,,,
19,RUE SAINT GEORGES,4,,,
51,RUE SAINT GEORGES,4,,,
62,RUE SAINT GEORGES,4,,,
84,RUE SAINT GEORGES,4,,,
3,MONTEE DES EPIES,3,,,
8,MONTEE DES EPIES,3,,,
18,MONTEE DU GOURGUILLON,3,,,
26,MONTEE DU GOURGUILLON,3,,,
29,MONTEE DU GOURGUILLON,3,,,
35,MONTEE DU GOURGUILLON,3,,,
50,MONTEE DU GOURGUILLON,3,,,
58,MONTEE DU GOURGUILLON,3,,,
7,MONTEE DU GOURGUILLON,3,,,
10,PLACE BENOIT CREPU,3,,,
33,QUAI FULCHIRON,3,,,
38,RUE DU DOYENNE,3,,,
21,RUE SAINT GEORGES,3,,,
60,RUE SAINT GEORGES,3,,,
68,RUE SAINT GEORGES,3,,,
86,RUE SAINT GEORGES,3,,,
31,B MONTEE DU GOURGUILLON,2,,,
88,B RUE SAINT GEORGES,2,,,
16,MONTEE DES EPIES,2,,,
22,MONTEE DES EPIES,2,,,
23,MONTEE DES EPIES,2,,,
24,MONTEE DES EPIES,2,,,
16,MONTEE DU GOURGUILLON,2,,,
27,MONTEE DU GOURGUILLON,2,,,
28,MONTEE DU GOURGUILLON,2,,,
30,MONTEE DU GOURGUILLON,2,,,
8,PLACE BENOIT CREPU,2,,,
1,RUE ARMAND CALLIAT,2,,,
14,RUE DE LA QUARANTAINE,2,,,
27,RUE DU DOYENNE,2,,,
32,RUE DU DOYENNE,2,,,
42,RUE DU DOYENNE,2,,,
18,RUE SAINT GEORGES,2,,,
22,RUE SAINT GEORGES,2,,,
29,RUE SAINT GEORGES,2,,,
35,RUE SAINT GEORGES,2,,,
47,RUE SAINT GEORGES,2,,,
50,RUE SAINT GEORGES,2,,,
52,RUE SAINT GEORGES,2,,,
54,RUE SAINT GEORGES,2,,,
55,RUE SAINT GEORGES,2,,,
67,RUE SAINT GEORGES,2,,,
76,RUE SAINT GEORGES,2,,,
90,RUE SAINT GEORGES,2,,,
92,RUE SAINT GEORGES,2,,,
88,T RUE SAINT GEORGES,2,,,
19,B MONTEE DES EPIES,1,,,
17,MONTEE DES EPIES,1,,,
20,MONTEE DES EPIES,1,,,
30,MONTEE DES EPIES,1,,,
32,MONTEE DU GOURGUILLON,1,,,
33,MONTEE DU GOURGUILLON,1,,,
36,MONTEE DU GOURGUILLON,1,,,
46,MONTEE DU GOURGUILLON,1,,,
2,RUE ARMAND CALLIAT,1,,,
19,RUE DU DOYENNE,1,,,
24,RUE DU DOYENNE,1,,,
40,RUE DU DOYENNE,1,,,
33,RUE SAINT GEORGES,1,,,
58,RUE SAINT GEORGES,1,,,
61,RUE SAINT GEORGES,1,,,
66,RUE SAINT GEORGES,1,,,
74,RUE SAINT GEORGES,1,,,
77,RUE SAINT GEORGES,1,,,
80,RUE SAINT GEORGES,1,,,
