N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
220,AVENUE BARTHELEMY BUYER,168,,,
27,RUE DE MONTRIBLOUD,99,,,
25,RUE DE MONTRIBLOUD,94,,,
29,RUE DE MONTRIBLOUD,69,,,
9,RUE DE LA CHAPELLE,57,,,
7,RUE DE LA CHAPELLE,47,,,
11,RUE DE LA CHAPELLE,24,,,
19,RUE DE MONTRIBLOUD,17,,,
21,RUE DE MONTRIBLOUD,16,,,
27B,RUE DE MONTRIBLOUD,16,,,
17,RUE DE MONTRIBLOUD,15,,,
25B,RUE DE MONTRIBLOUD,13,,,
21B,RUE DE MONTRIBLOUD,11,,,
29B,RUE DE MONTRIBLOUD,11,,,
19B,RUE DE MONTRIBLOUD,8,,,
21T,RUE DE MONTRIBLOUD,8,,,
31,RUE DE MONTRIBLOUD,7,,,
17B,RUE DE MONTRIBLOUD,6,,,
17T,RUE DE MONTRIBLOUD,6,,,
5,ALLEE DE BEAULIEU MONTRIBLOUD,5,,,
15,ALLEE DE BEAULIEU MONTRIBLOUD,3,,,
4,ALLEE DE BEAULIEU MONTRIBLOUD,3,,,
7,ALLEE DE BEAULIEU MONTRIBLOUD,3,,,
31B,RUE DE MONTRIBLOUD,3,,,
13,ALLEE DE BEAULIEU MONTRIBLOUD,2,,,
6,ALLEE DE BEAULIEU MONTRIBLOUD,2,,,
212,AVENUE BARTHELEMY BUYER,2,,,
1,ALLEE DE BEAULIEU MONTRIBLOUD,1,,,
2,ALLEE DE BEAULIEU MONTRIBLOUD,1,,,
27,ALLEE DE BEAULIEU MONTRIBLOUD,1,,,
218,AVENUE BARTHELEMY BUYER,1,,,
220B,AVENUE BARTHELEMY BUYER,1,,,
18,RUE DE LA CHAPELLE,1,,,
15B,RUE DE MONTRIBLOUD,1,,,
27A,RUE DE MONTRIBLOUD,1,,,
27C,RUE DE MONTRIBLOUD,1,,,
29C,RUE DE MONTRIBLOUD,1,,,
