N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
344,RUE DE LA PIEMENTE,73,,,
343,RUE DE LA PIEMENTE,69,,,
345,RUE DE LA PIEMENTE,67,,,
336,RUE DOYEN GEORGES CHAPAS,49,,,
330,RUE DOYEN GEORGES CHAPAS,48,,,
329,RUE DOYEN GEORGES CHAPAS,46,,,
325,RUE DOYEN GEORGES CHAPAS,43,,,
328,RUE DOYEN GEORGES CHAPAS,41,,,
324,RUE DOYEN GEORGES CHAPAS,38,,,
331,RUE DOYEN GEORGES CHAPAS,35,,,
327,RUE DOYEN GEORGES CHAPAS,34,,,
333,RUE DOYEN GEORGES CHAPAS,34,,,
321,RUE DOYEN GEORGES CHAPAS,32,,,
326,RUE DOYEN GEORGES CHAPAS,28,,,
334,RUE DOYEN GEORGES CHAPAS,28,,,
323,RUE DOYEN GEORGES CHAPAS,27,,,
40,BOULEVARD DE BALMONT,20,,,
332,RUE DOYEN GEORGES CHAPAS,19,,,
332,BOULEVARD DE BALMONT,18,,,
320,RUE DOYEN GEORGES CHAPAS,18,,,
322,RUE DOYEN GEORGES CHAPAS,18,,,
335,RUE DOYEN GEORGES CHAPAS,18,,,
42,BOULEVARD DE BALMONT,17,,,
46,BOULEVARD DE BALMONT,12,,,
44,BOULEVARD DE BALMONT,11,,,
334B,RUE DOYEN GEORGES CHAPAS,5,,,
333B,RUE DOYEN GEORGES CHAPAS,4,,,
336B,RUE DOYEN GEORGES CHAPAS,4,,,
207,AV. DU 25E REG. DES TIR. SENEGALAIS,3,,,
3,AVENUE DE LANESSAN,3,,,
344B,RUE DE LA PIEMENTE,3,,,
335B,RUE DOYEN GEORGES CHAPAS,3,,,
203,AV. DU 25E REG. DES TIR. SENEGALAIS,2,,,
332B,BOULEVARD DE BALMONT,2,,,
343B,RUE DE LA PIEMENTE,2,,,
345B,RUE DE LA PIEMENTE,2,,,
338,RUE DOYEN GEORGES CHAPAS,2,,,
52,BOULEVARD DE BALMONT,1,,,
330A,RUE DOYEN GEORGES CHAPAS,1,,,
330B,RUE DOYEN GEORGES CHAPAS,1,,,
331B,RUE DOYEN GEORGES CHAPAS,1,,,
335D,RUE DOYEN GEORGES CHAPAS,1,,,
