N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
88,RUE DES DOCKS,44,,,
7,RUE PLASSON ET CHAIZE,37,,,
11,RUE FELIX MANGINI,31,,,
7,RUE FELIX MANGINI,30,,,
84,RUE DES DOCKS,27,,,
9,RUE FELIX MANGINI,26,,,
4,RUE RENEE SABRAN,25,,,
4,RUE DES BRASSERIES,22,,,
25,QUAI PAUL SEDALLIAN,21,,,
7,SQUARE EDOUARD MOURIQUAND,21,,,
16,QUAI PAUL SEDALLIAN,19,,,
11,AVENUE DU FRENE,18,,,
9,RUE PLASSON ET CHAIZE,18,,,
19,QUAI PAUL SEDALLIAN,17,,,
28,QUAI PAUL SEDALLIAN,17,,,
3,RUE DE TREVES,17,,,
29,QUAI PAUL SEDALLIAN,16,,,
3,AVENUE DU FRENE,15,,,
2,QUAI PAUL SEDALLIAN,13,,,
5,GRANDE RUE DE SAINT RAMBERT,12,,,
45,GRANDE RUE DE SAINT RAMBERT,11,,,
67,GRANDE RUE DE SAINT RAMBERT,9,,,
7,GRANDE RUE DE SAINT RAMBERT,9,,,
4,RUE GENERAL GIRODON,9,,,
3,RUE VELTEN,9,,,
25,GRANDE RUE DE SAINT RAMBERT,8,,,
15,QUAI PAUL SEDALLIAN,8,,,
22,QUAI PAUL SEDALLIAN,8,,,
23,QUAI PAUL SEDALLIAN,8,,,
27,QUAI PAUL SEDALLIAN,8,,,
18,QUAI PAUL SEDALLIAN,7,,,
1,QUAI RAOUL CARRIE,7,,,
3,RUE COMMUNIEU,7,,,
9,AVENUE DU FRENE,6,,,
23,GRANDE RUE DE SAINT RAMBERT,6,,,
26,GRANDE RUE DE SAINT RAMBERT,6,,,
30,GRANDE RUE DE SAINT RAMBERT,6,,,
1,"LIEU-DIT ""ILE BARBE""",6,,,
8,RUE DES DOCTEURS CORDIER,6,,,
3,RUE DES VILLAS,6,,,
8,RUE DES VILLAS,6,,,
2,RUE GILGAIN,6,,,
13,GRANDE RUE DE SAINT RAMBERT,5,,,
3,GRANDE RUE DE SAINT RAMBERT,5,,,
56,GRANDE RUE DE SAINT RAMBERT,5,,,
59,GRANDE RUE DE SAINT RAMBERT,5,,,
2,IMPASSE DE L HORLOGE,5,,,
13,QUAI PAUL SEDALLIAN,5,,,
17,QUAI PAUL SEDALLIAN,5,,,
20,QUAI PAUL SEDALLIAN,5,,,
7,QUAI PAUL SEDALLIAN,5,,,
10,RUE CLAUDE FAYE,5,,,
13,RUE DE LA MIGNONNE,5,,,
10,RUE DES VILLAS,5,,,
6,RUE RENEE SABRAN,5,,,
4,SQUARE EDOUARD MOURIQUAND,5,,,
5,AVENUE DU FRENE,4,,,
16,GRANDE RUE DE SAINT RAMBERT,4,,,
20,GRANDE RUE DE SAINT RAMBERT,4,,,
21,GRANDE RUE DE SAINT RAMBERT,4,,,
31,GRANDE RUE DE SAINT RAMBERT,4,,,
38,GRANDE RUE DE SAINT RAMBERT,4,,,
40,GRANDE RUE DE SAINT RAMBERT,4,,,
58,GRANDE RUE DE SAINT RAMBERT,4,,,
11,QUAI PAUL SEDALLIAN,4,,,
21,QUAI PAUL SEDALLIAN,4,,,
24,QUAI PAUL SEDALLIAN,4,,,
26,QUAI PAUL SEDALLIAN,4,,,
6,QUAI PAUL SEDALLIAN,4,,,
3,QUAI RAOUL CARRIE,4,,,
8,QUAI RAOUL CARRIE,4,,,
6,RUE CLAUDE FAYE,4,,,
6,RUE COMMUNIEU,4,,,
8,RUE DE LA MIGNONNE,4,,,
9,RUE DE LA MIGNONNE,4,,,
8,RUE DE TREVES,4,,,
1,RUE DES DOCTEURS CORDIER,4,,,
7,RUE DES DOCTEURS CORDIER,4,,,
12,RUE DES VILLAS,4,,,
8,AVENUE DU FRENE,3,,,
12,GRANDE RUE DE SAINT RAMBERT,3,,,
18,GRANDE RUE DE SAINT RAMBERT,3,,,
29,GRANDE RUE DE SAINT RAMBERT,3,,,
39,GRANDE RUE DE SAINT RAMBERT,3,,,
42,GRANDE RUE DE SAINT RAMBERT,3,,,
50,GRANDE RUE DE SAINT RAMBERT,3,,,
55,GRANDE RUE DE SAINT RAMBERT,3,,,
10,IMPASSE DE L HORLOGE,3,,,
27B,QUAI PAUL SEDALLIAN,3,,,
5,RUE CLAUDE FAYE,3,,,
7,RUE CLAUDE FAYE,3,,,
4,RUE COMMUNIEU,3,,,
5,RUE DE LA MIGNONNE,3,,,
4,RUE DES DOCTEURS CORDIER,3,,,
1,RUE GENERAL GIRODON,3,,,
1B,RUE GENERAL GIRODON,3,,,
3,RUE RENEE SABRAN,3,,,
6,SQUARE EDOUARD MOURIQUAND,3,,,
4B,AVENUE DU FRENE,2,,,
7,AVENUE DU FRENE,2,,,
14,GRANDE RUE DE SAINT RAMBERT,2,,,
15,GRANDE RUE DE SAINT RAMBERT,2,,,
19,GRANDE RUE DE SAINT RAMBERT,2,,,
24,GRANDE RUE DE SAINT RAMBERT,2,,,
35,GRANDE RUE DE SAINT RAMBERT,2,,,
37,GRANDE RUE DE SAINT RAMBERT,2,,,
41,GRANDE RUE DE SAINT RAMBERT,2,,,
46,GRANDE RUE DE SAINT RAMBERT,2,,,
47,GRANDE RUE DE SAINT RAMBERT,2,,,
48,GRANDE RUE DE SAINT RAMBERT,2,,,
48B,GRANDE RUE DE SAINT RAMBERT,2,,,
49,GRANDE RUE DE SAINT RAMBERT,2,,,
51,GRANDE RUE DE SAINT RAMBERT,2,,,
54,GRANDE RUE DE SAINT RAMBERT,2,,,
57,GRANDE RUE DE SAINT RAMBERT,2,,,
60,GRANDE RUE DE SAINT RAMBERT,2,,,
63,GRANDE RUE DE SAINT RAMBERT,2,,,
9,GRANDE RUE DE SAINT RAMBERT,2,,,
1,IMPASSE DE L HORLOGE,2,,,
10,QUAI PAUL SEDALLIAN,2,,,
14,QUAI PAUL SEDALLIAN,2,,,
3,QUAI PAUL SEDALLIAN,2,,,
8,QUAI PAUL SEDALLIAN,2,,,
23,QUAI RAOUL CARRIE,2,,,
1,RUE CLAUDE FAYE,2,,,
3,RUE CLAUDE FAYE,2,,,
2,RUE COMMUNIEU,2,,,
10,RUE DE LA MIGNONNE,2,,,
14,RUE DE LA MIGNONNE,2,,,
7,RUE DE LA MIGNONNE,2,,,
10,RUE DE TREVES,2,,,
2,RUE DE TREVES,2,,,
7,RUE DE TREVES,2,,,
9,RUE DE TREVES,2,,,
11,RUE DES DOCTEURS CORDIER,2,,,
3,RUE DES DOCTEURS CORDIER,2,,,
18,RUE DES VILLAS,2,,,
6,RUE DES VILLAS,2,,,
9,RUE DES VILLAS,2,,,
2,RUE GENERAL GIRODON,2,,,
3,RUE GENERAL GIRODON,2,,,
42,RUE JOANNES CARRET,2,,,
1,RUE RENEE SABRAN,2,,,
1,RUE VELTEN,2,,,
1B,RUE VELTEN,2,,,
6,RUE VELTEN,2,,,
2,SQUARE EDOUARD MOURIQUAND,2,,,
1,AVENUE DU FRENE,1,,,
4,AVENUE DU FRENE,1,,,
6,AVENUE DU FRENE,1,,,
3,CHEMIN DU BAS PORT,1,,,
1,GRANDE RUE DE SAINT RAMBERT,1,,,
32,GRANDE RUE DE SAINT RAMBERT,1,,,
34,GRANDE RUE DE SAINT RAMBERT,1,,,
53,GRANDE RUE DE SAINT RAMBERT,1,,,
61,GRANDE RUE DE SAINT RAMBERT,1,,,
73B,GRANDE RUE DE SAINT RAMBERT,1,,,
77,GRANDE RUE DE SAINT RAMBERT,1,,,
3,"LIEU-DIT ""ILE BARBE""",1,,,
48B,PLACE DE SAINT RAMBERT,1,,,
2,PLACE HENRI BARBUSSE,1,,,
3,PLACE HENRI BARBUSSE,1,,,
1,QUAI PAUL SEDALLIAN,1,,,
4,QUAI PAUL SEDALLIAN,1,,,
5,QUAI PAUL SEDALLIAN,1,,,
8,RUE CLAUDE FAYE,1,,,
4B,RUE COMMUNIEU,1,,,
1,RUE DE LA MIGNONNE,1,,,
11,RUE DE LA MIGNONNE,1,,,
18,RUE DE LA MIGNONNE,1,,,
2,RUE DE LA MIGNONNE,1,,,
3,RUE DE LA MIGNONNE,1,,,
11,RUE DE TREVES,1,,,
5,RUE DE TREVES,1,,,
6,RUE DE TREVES,1,,,
2,RUE DES DOCTEURS CORDIER,1,,,
6,RUE DES DOCTEURS CORDIER,1,,,
11,RUE DES VILLAS,1,,,
19,RUE DES VILLAS,1,,,
9B,RUE DES VILLAS,1,,,
1,RUE DU PONT COTTON,1,,,
3,RUE DU PONT COTTON,1,,,
4,RUE DU PONT COTTON,1,,,
6,RUE DU PONT COTTON,1,,,
13,RUE FELIX MANGINI,1,,,
30,RUE JOANNES CARRET,1,,,
2,RUE JOLIVET,1,,,
4,RUE JOLIVET,1,,,
2,RUE RENEE SABRAN,1,,,
8,RUE RENEE SABRAN,1,,,
4,RUE VELTEN,1,,,
4B,RUE VELTEN,1,,,
4B,SQUARE EDOUARD MOURIQUAND,1,,,
