N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
68,MONTEE DE L OBSERVANCE,61,,,
72,MONTEE DE L OBSERVANCE,54,,,
60,MONTEE DE L OBSERVANCE,51,,,
64,MONTEE DE L OBSERVANCE,50,,,
33,QUAI ARLOING,44,,,
14B,QUAI PIERRE SCIZE,32,,,
29,QUAI ARLOING,31,,,
38,QUAI ARLOING,30,,,
14,QUAI PIERRE SCIZE,30,,,
34,QUAI ARLOING,28,,,
32T,QUAI ARLOING,27,,,
14T,QUAI PIERRE SCIZE,27,,,
13B,QUAI PIERRE SCIZE,26,,,
13T,QUAI PIERRE SCIZE,26,,,
30,QUAI ARLOING,24,,,
13,QUAI PIERRE SCIZE,24,,,
29T,QUAI ARLOING,23,,,
16,QUAI ARLOING,17,,,
20,QUAI ARLOING,16,,,
22,QUAI ARLOING,16,,,
4,QUAI ARLOING,15,,,
21,QUAI ARLOING,14,,,
10,QUAI PIERRE SCIZE,13,,,
18,QUAI ARLOING,12,,,
19,QUAI ARLOING,12,,,
28,QUAI ARLOING,12,,,
36,QUAI ARLOING,12,,,
2,QUAI ARLOING,10,,,
26,QUAI ARLOING,10,,,
8,QUAI ARLOING,10,,,
9,QUAI ARLOING,10,,,
12T,QUAI PIERRE SCIZE,10,,,
17,QUAI ARLOING,9,,,
11,QUAI PIERRE SCIZE,9,,,
10,QUAI ARLOING,8,,,
25,QUAI ARLOING,8,,,
29B,QUAI ARLOING,8,,,
31,QUAI ARLOING,8,,,
3,QUAI CHAUVEAU,8,,,
32,QUAI ARLOING,7,,,
8,QUAI PIERRE SCIZE,7,,,
58,MONTEE DE L OBSERVANCE,6,,,
12,QUAI ARLOING,6,,,
3,QUAI ARLOING,6,,,
15,QUAI PIERRE SCIZE,6,,,
40,MONTEE DE L OBSERVANCE,5,,,
14,QUAI ARLOING,5,,,
23,QUAI ARLOING,5,,,
27,QUAI ARLOING,5,,,
37,QUAI ARLOING,5,,,
5,QUAI PIERRE SCIZE,5,,,
13,QUAI ARLOING,4,,,
12,QUAI PIERRE SCIZE,4,,,
12B,QUAI PIERRE SCIZE,4,,,
21B,QUAI ARLOING,3,,,
32B,QUAI ARLOING,3,,,
6,QUAI PIERRE SCIZE,3,,,
7,QUAI PIERRE SCIZE,2,,,
24,QUAI ARLOING,1,,,
11T,QUAI PIERRE SCIZE,1,,,
2,QUAI PIERRE SCIZE,1,,,
9,QUAI PIERRE SCIZE,1,,,
