N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
104,RUE PIERRE VALDO,86,,,
74,RUE PIERRE VALDO,69,,,
146,RUE COMMANDANT CHARCOT,39,,,
9,RUE GEORGES MARTIN WITKOWSKI,39,,,
138,RUE COMMANDANT CHARCOT,37,,,
7,RUE GEORGES MARTIN WITKOWSKI,36,,,
76,RUE PIERRE VALDO,36,,,
86,RUE PIERRE VALDO,30,,,
156,RUE COMMANDANT CHARCOT,29,,,
129,RUE PIERRE VALDO,28,,,
156B,RUE COMMANDANT CHARCOT,27,,,
80,RUE PIERRE VALDO,22,,,
46,RUE GEORGES MARTIN WITKOWSKI,20,,,
24,RUE GEORGES MARTIN WITKOWSKI,20,,,
128B,RUE COMMANDANT CHARCOT,18,,,
127,RUE PIERRE VALDO,18,,,
40,RUE GEORGES MARTIN WITKOWSKI,17,,,
22,RUE GEORGES MARTIN WITKOWSKI,17,,,
20,RUE JEUNET,16,,,
20,RUE GEORGES MARTIN WITKOWSKI,16,,,
127B,RUE PIERRE VALDO,16,,,
123,RUE PIERRE VALDO,15,,,
30,RUE GEORGES MARTIN WITKOWSKI,15,,,
125,RUE PIERRE VALDO,15,,,
2,RUE GEORGES MARTIN WITKOWSKI,15,,,
123B,RUE PIERRE VALDO,14,,,
34,RUE GEORGES MARTIN WITKOWSKI,13,,,
1,RUE GEORGES MARTIN WITKOWSKI,13,,,
6,RUE GEORGES MARTIN WITKOWSKI,12,,,
2,RUE CHAZAY,12,,,
26,RUE GEORGES MARTIN WITKOWSKI,12,,,
43,RUE GEORGES MARTIN WITKOWSKI,11,,,
129B,RUE PIERRE VALDO,11,,,
125B,RUE PIERRE VALDO,11,,,
4,RUE GEORGES MARTIN WITKOWSKI,10,,,
3,RUE GEORGES MARTIN WITKOWSKI,9,,,
32,RUE GEORGES MARTIN WITKOWSKI,8,,,
36,RUE GEORGES MARTIN WITKOWSKI,7,,,
8,RUE GEORGES MARTIN WITKOWSKI,7,,,
38,RUE GEORGES MARTIN WITKOWSKI,7,,,
1,RUE HENRIETTE,6,,,
32,RUE CHAZAY,6,,,
136,RUE COMMANDANT CHARCOT,6,,,
38,RUE CHAZAY,5,,,
148,RUE COMMANDANT CHARCOT,4,,,
18,RUE CHAZAY,4,,,
2,RUE HENRIETTE,4,,,
46,RUE CHAZAY,4,,,
152T,RUE COMMANDANT CHARCOT,4,,,
42B,RUE CHAZAY,4,,,
37,RUE GEORGES MARTIN WITKOWSKI,4,,,
7,ALLEE HENRIETTE,4,,,
16,RUE JEUNET,4,,,
16,ALLEE HENRIETTE,4,,,
98,RUE PIERRE VALDO,4,,,
152,RUE COMMANDANT CHARCOT,3,,,
134,RUE COMMANDANT CHARCOT,3,,,
14,RUE CHAZAY,3,,,
24,ALLEE HENRIETTE,3,,,
6B,RUE CHAZAY,3,,,
28T,RUE CHAZAY,3,,,
15,ALLEE HENRIETTE,3,,,
3,RUE HENRIETTE,3,,,
40,RUE CHAZAY,3,,,
36B,RUE CHAZAY,3,,,
8,ALLEE HENRIETTE,3,,,
22,RUE CHAZAY,3,,,
132,RUE COMMANDANT CHARCOT,3,,,
18,ALLEE HENRIETTE,3,,,
35,RUE GEORGES MARTIN WITKOWSKI,3,,,
96,RUE PIERRE VALDO,3,,,
129Q,RUE PIERRE VALDO,3,,,
12,RUE CHAZAY,3,,,
154,RUE COMMANDANT CHARCOT,3,,,
39,RUE GEORGES MARTIN WITKOWSKI,3,,,
8,RUE HENRIETTE,3,,,
33,RUE GEORGES MARTIN WITKOWSKI,3,,,
28,RUE CHAZAY,3,,,
150,RUE COMMANDANT CHARCOT,2,,,
104B,RUE PIERRE VALDO,2,,,
38B,RUE CHAZAY,2,,,
19,ALLEE HENRIETTE,2,,,
5,ALLEE HENRIETTE,2,,,
29,RUE GEORGES MARTIN WITKOWSKI,2,,,
27,RUE GEORGES MARTIN WITKOWSKI,2,,,
6,ALLEE HENRIETTE,2,,,
13,ALLEE HENRIETTE,2,,,
36,RUE CHAZAY,2,,,
42,RUE CHAZAY,2,,,
11,ALLEE HENRIETTE,2,,,
16,RUE CHAZAY,2,,,
44,RUE CHAZAY,2,,,
11,RUE HENRIETTE,2,,,
152B,RUE COMMANDANT CHARCOT,2,,,
8,RUE CHAZAY,2,,,
24,RUE CHAZAY,2,,,
10,RUE HENRIETTE,2,,,
6,RUE CHAZAY,2,,,
22,ALLEE HENRIETTE,2,,,
144,RUE COMMANDANT CHARCOT,2,,,
10B,RUE HENRIETTE,2,,,
12,ALLEE HENRIETTE,2,,,
7,RUE HENRIETTE,2,,,
9,RUE HENRIETTE,2,,,
31,RUE GEORGES MARTIN WITKOWSKI,2,,,
68,RUE PIERRE VALDO,2,,,
14,ALLEE HENRIETTE,2,,,
94,RUE PIERRE VALDO,2,,,
12,RUE HENRIETTE,2,,,
9,ALLEE HENRIETTE,2,,,
34,RUE CHAZAY,2,,,
76B,RUE PIERRE VALDO,1,,,
128,RUE COMMANDANT CHARCOT,1,,,
94T,RUE PIERRE VALDO,1,,,
28B,RUE CHAZAY,1,,,
30,RUE CHAZAY,1,,,
4,RUE CHAZAY,1,,,
17,ALLEE HENRIETTE,1,,,
8B,RUE HENRIETTE,1,,,
17,RUE HENRIETTE,1,,,
20,RUE CHAZAY,1,,,
94B,RUE PIERRE VALDO,1,,,
86B,RUE PIERRE VALDO,1,,,
6B,RUE GEORGES MARTIN WITKOWSKI,1,,,
20B,RUE JEUNET,1,,,
10,RUE CHAZAY,1,,,
6,RUE HENRIETTE,1,,,
41,RUE GEORGES MARTIN WITKOWSKI,1,,,
20,ALLEE HENRIETTE,1,,,
158,RUE COMMANDANT CHARCOT,1,,,
10,ALLEE HENRIETTE,1,,,
