N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
206,RUE DE SAINT CYR,31,,,
38,RUE ALBERT CHALINEL,28,,,
208,RUE DE SAINT CYR,24,,,
202B,RUE DE SAINT CYR,22,,,
200,RUE DE SAINT CYR,21,,,
70,RUE DES DOCTEURS CORDIER,21,,,
220,RUE DE SAINT CYR,20,,,
46,RUE HECTOR BERLIOZ,19,,,
2,RUE CLAUDE DEBUSSY,18,,,
26,RUE FAYOLLE,18,,,
202,RUE DE SAINT CYR,17,,,
214,RUE DE SAINT CYR,17,,,
54,RUE DES DOCTEURS CORDIER,17,,,
204,RUE DE SAINT CYR,16,,,
218,RUE DE SAINT CYR,16,,,
224,RUE DE SAINT CYR,16,,,
216,RUE DE SAINT CYR,15,,,
42,RUE HECTOR BERLIOZ,15,,,
212,RUE DE SAINT CYR,14,,,
60,RUE DES DOCTEURS CORDIER,14,,,
40,RUE HECTOR BERLIOZ,13,,,
10,RUE CLAUDE DEBUSSY,12,,,
4,RUE CLAUDE DEBUSSY,12,,,
50,RUE DES DOCTEURS CORDIER,12,,,
5,RUE JOSEPH FOLLIET,12,,,
200B,RUE DE SAINT CYR,11,,,
1,SQUARE PAUL CEZANNE,11,,,
2,PLACE PIERRE PUGET,10,,,
44,RUE HECTOR BERLIOZ,10,,,
3,PLACE MAURICE BARIOD,9,,,
222,RUE DE SAINT CYR,9,,,
2,PLACE MAURICE BARIOD,7,,,
2,SQUARE MAURICE RAVEL,7,,,
2,SQUARE PAUL CEZANNE,7,,,
1,PLACE PIERRE PUGET,6,,,
30,RUE FAYOLLE,6,,,
1,SQUARE MAURICE RAVEL,6,,,
1,PLACE MAURICE BARIOD,5,,,
11,RUE ALBERT CAMUS,5,,,
25,RUE CLAUDE DEBUSSY,5,,,
6,RUE CLAUDE DEBUSSY,5,,,
2,RUE CLAUDE LE LABOUREUR,5,,,
27,RUE CLAUDE LE LABOUREUR,5,,,
12,RUE ALBERT CAMUS,4,,,
3,RUE ALBERT CAMUS,4,,,
31,RUE ALBERT CHALINEL,4,,,
33,RUE ALBERT CHALINEL,4,,,
13,RUE CLAUDE DEBUSSY,4,,,
22,RUE CLAUDE DEBUSSY,4,,,
23,RUE CLAUDE DEBUSSY,4,,,
24,RUE CLAUDE DEBUSSY,4,,,
35,RUE CLAUDE DEBUSSY,4,,,
210,RUE DE SAINT CYR,4,,,
230,RUE DE SAINT CYR,4,,,
232,RUE DE SAINT CYR,4,,,
40,RUE DES DOCTEURS CORDIER,4,,,
78,RUE DES DOCTEURS CORDIER,4,,,
32,RUE FAYOLLE,4,,,
10,RUE ALBERT CAMUS,3,,,
9,RUE ALBERT CAMUS,3,,,
31T,RUE ALBERT CHALINEL,3,,,
18,RUE CLAUDE DEBUSSY,3,,,
3,RUE CLAUDE DEBUSSY,3,,,
32,RUE CLAUDE DEBUSSY,3,,,
33,RUE CLAUDE DEBUSSY,3,,,
38,RUE CLAUDE DEBUSSY,3,,,
7,RUE CLAUDE DEBUSSY,3,,,
8,RUE CLAUDE DEBUSSY,3,,,
9,RUE CLAUDE DEBUSSY,3,,,
23,RUE CLAUDE LE LABOUREUR,3,,,
226,RUE DE SAINT CYR,3,,,
58,RUE DES DOCTEURS CORDIER,3,,,
62,RUE DES DOCTEURS CORDIER,3,,,
33,RUE FAYOLLE,3,,,
1,RUE ALBERT CAMUS,2,,,
2,RUE ALBERT CAMUS,2,,,
5,RUE ALBERT CAMUS,2,,,
6,RUE ALBERT CAMUS,2,,,
8,RUE ALBERT CAMUS,2,,,
31B,RUE ALBERT CHALINEL,2,,,
35,RUE ALBERT CHALINEL,2,,,
11,RUE CLAUDE DEBUSSY,2,,,
12,RUE CLAUDE DEBUSSY,2,,,
14,RUE CLAUDE DEBUSSY,2,,,
15,RUE CLAUDE DEBUSSY,2,,,
21,RUE CLAUDE DEBUSSY,2,,,
26,RUE CLAUDE DEBUSSY,2,,,
27,RUE CLAUDE DEBUSSY,2,,,
31,RUE CLAUDE DEBUSSY,2,,,
36,RUE CLAUDE DEBUSSY,2,,,
37,RUE CLAUDE DEBUSSY,2,,,
29,RUE CLAUDE LE LABOUREUR,2,,,
40B,RUE DES DOCTEURS CORDIER,2,,,
64,RUE DES DOCTEURS CORDIER,2,,,
76,RUE DES DOCTEURS CORDIER,2,,,
80,RUE DES DOCTEURS CORDIER,2,,,
12,RUE FAYOLLE,2,,,
16,RUE FAYOLLE,2,,,
20,RUE FAYOLLE,2,,,
24,RUE FAYOLLE,2,,,
4,RUE FAYOLLE,2,,,
1,IMPASSE AUGUSTE RODIN,1,,,
2,IMPASSE AUGUSTE RODIN,1,,,
3,IMPASSE AUGUSTE RODIN,1,,,
5,IMPASSE AUGUSTE RODIN,1,,,
6,IMPASSE AUGUSTE RODIN,1,,,
5,PLACE MAURICE BARIOD,1,,,
6,PLACE MAURICE BARIOD,1,,,
20,PLACE PIERRE PUGET,1,,,
4,RUE ALBERT CAMUS,1,,,
38Q,RUE ALBERT CHALINEL,1,,,
16,RUE CLAUDE DEBUSSY,1,,,
19,RUE CLAUDE DEBUSSY,1,,,
20,RUE CLAUDE DEBUSSY,1,,,
28,RUE CLAUDE DEBUSSY,1,,,
29,RUE CLAUDE DEBUSSY,1,,,
5,RUE CLAUDE DEBUSSY,1,,,
31,RUE CLAUDE LE LABOUREUR,1,,,
210B,RUE DE SAINT CYR,1,,,
220B,RUE DE SAINT CYR,1,,,
50B,RUE DES DOCTEURS CORDIER,1,,,
57,RUE DES DOCTEURS CORDIER,1,,,
65,RUE DES DOCTEURS CORDIER,1,,,
82,RUE DES DOCTEURS CORDIER,1,,,
21,RUE FAYOLLE,1,,,
