N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
17,RUE JEAN ZAY,72,,,
42,RUE SERGENT MICHEL BERTHET,66,,,
19,RUE JEAN ZAY,62,,,
21,RUE JEAN ZAY,62,,,
23,RUE JEAN ZAY,62,,,
24,RUE LOUIS LOUCHEUR,45,,,
42,RUE DE LA GRANGE,34,,,
22,RUE LOUIS LOUCHEUR,32,,,
20,RUE LOUIS LOUCHEUR,30,,,
25,RUE LOUIS LOUCHEUR,30,,,
46,RUE DE LA GRANGE,29,,,
15,RUE LOUIS LOUCHEUR,29,,,
23,RUE LOUIS LOUCHEUR,28,,,
13,RUE DE LA FRATERNELLE,25,,,
5,RUE JEAN ZAY,25,,,
21,RUE LOUIS LOUCHEUR,25,,,
26,RUE LOUIS LOUCHEUR,22,,,
17,RUE LOUIS LOUCHEUR,21,,,
19,RUE LOUIS LOUCHEUR,20,,,
5,RUE LOUIS LOUCHEUR,19,,,
52,RUE DE LA GRANGE,18,,,
21,RUE DE LA FRATERNELLE,16,,,
44,RUE DE LA GRANGE,15,,,
13,RUE LOUIS LOUCHEUR,15,,,
7,RUE LOUIS LOUCHEUR,15,,,
28,RUE LOUIS LOUCHEUR,14,,,
15B,RUE LOUIS LOUCHEUR,13,,,
17,RUE DE LA FRATERNELLE,12,,,
23,RUE DE LA FRATERNELLE,12,,,
11,RUE LOUIS LOUCHEUR,12,,,
11B,RUE LOUIS LOUCHEUR,12,,,
44,RUE SERGENT MICHEL BERTHET,12,,,
22,RUE DE LA FRATERNELLE,11,,,
27,RUE DE LA FRATERNELLE,10,,,
50,RUE DE LA GRANGE,10,,,
17B,RUE LOUIS LOUCHEUR,9,,,
9,RUE LOUIS LOUCHEUR,9,,,
25B,RUE LOUIS LOUCHEUR,7,,,
3,RUE LOUIS LOUCHEUR,7,,,
19,RUE DE LA FRATERNELLE,6,,,
21B,RUE LOUIS LOUCHEUR,6,,,
25,RUE DE LA FRATERNELLE,5,,,
23,RUE GORGE DE LOUP,5,,,
18,RUE DE LA FRATERNELLE,4,,,
3,RUE DE LA FRATERNELLE,4,,,
24,RUE DE LA GRANGE,4,,,
30,RUE DE LA GRANGE,4,,,
32,RUE DE LA GRANGE,4,,,
10,RUE LOUIS LOUCHEUR,4,,,
23B,RUE LOUIS LOUCHEUR,4,,,
20,RUE DE LA FRATERNELLE,3,,,
26,RUE DE LA GRANGE,3,,,
36,RUE DE LA GRANGE,3,,,
40,RUE DE LA GRANGE,3,,,
29,RUE JEAN ZAY,3,,,
16,RUE DE LA FRATERNELLE,2,,,
28,RUE DE LA GRANGE,2,,,
19B,RUE LOUIS LOUCHEUR,2,,,
34,RUE DE LA GRANGE,1,,,
38,RUE DE LA GRANGE,1,,,
25,RUE GORGE DE LOUP,1,,,
7,RUE GORGE DE LOUP,1,,,
11,RUE JEAN ZAY,1,,,
26,RUE JEAN ZAY,1,,,
27,RUE JEAN ZAY,1,,,
23A,RUE LOUIS LOUCHEUR,1,,,
