N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
249,AVENUE DU PLATEAU,50,,,
3,AVENUE ROSA PARKS,40,,,
246,AVENUE DU PLATEAU,39,,,
241,AVENUE DU PLATEAU,37,,,
1,AVENUE ROSA PARKS,36,,,
245,AVENUE DU PLATEAU,34,,,
12,AVENUE DU PLATEAU,26,,,
3,RUE ALBERT JACQUARD,24,,,
7,AVENUE ROSA PARKS,23,,,
248,AVENUE DU PLATEAU,22,,,
7,AVENUE DU PLATEAU,22,,,
4,RUE ALBERT JACQUARD,21,,,
8,RUE ALBERT JACQUARD,21,,,
18,TOUR PANORAMIQUE (AV DU PLATEAU),21,,,
247,AVENUE DU PLATEAU,19,,,
243,AVENUE DU PLATEAU,18,,,
9,RUE PERE LOUIS DE GALARD,18,,,
5,TOUR PANORAMIQUE (AV DU PLATEAU),17,,,
6,AVENUE DU PLATEAU,16,,,
244,AVENUE DU PLATEAU,15,,,
1,RUE PERE LOUIS DE GALARD,15,,,
1,RUE ROGER FENECH,15,,,
242,AVENUE DU PLATEAU,14,,,
11,AVENUE ROSA PARKS,14,,,
13,PLACE GISELE HALIMI,14,,,
6,RUE FRANCOISE GIROUD,14,,,
3,RUE PERE LOUIS DE GALARD,13,,,
4,RUE PERE LOUIS DE GALARD,13,,,
6,RUE ALBERT JACQUARD,12,,,
5,RUE PERE LOUIS DE GALARD,11,,,
14,RUE ALBERT JACQUARD,10,,,
5,AVENUE DU PLATEAU,9,,,
9,AVENUE ROSA PARKS,9,,,
11,PLACE GISELE HALIMI,9,,,
12,RUE ALBERT JACQUARD,9,,,
7,RUE DENISE JOUSSOT,9,,,
3,RUE FRANCOISE GIROUD,9,,,
18,RUE ALBERT JACQUARD,8,,,
17,RUE DENISE JOUSSOT,7,,,
5,RUE FRANCOISE GIROUD,7,,,
3,RUE ROGER FENECH,7,,,
13,RUE ALBERT JACQUARD,6,,,
11,RUE DENISE JOUSSOT,6,,,
18,RUE DENISE JOUSSOT,6,,,
9,RUE DENISE JOUSSOT,6,,,
3,RUE HELENE BERTHAUD,6,,,
2,RUE DENISE JOUSSOT,5,,,
10,RUE ALBERT JACQUARD,4,,,
10,RUE DENISE JOUSSOT,4,,,
8,RUE DENISE JOUSSOT,4,,,
13,AVENUE DU PLATEAU,3,,,
12,RUE DENISE JOUSSOT,3,,,
14,RUE DENISE JOUSSOT,3,,,
6,RUE DENISE JOUSSOT,3,,,
20,RUE DENISE JOUSSOT,2,,,
3,RUE DENISE JOUSSOT,2,,,
4,RUE FRANCOISE GIROUD,2,,,
238,AVENUE DU PLATEAU,1,,,
231,BOULEVARD DE LA DUCHERE,1,,,
233,BOULEVARD DE LA DUCHERE,1,,,
16,RUE DENISE JOUSSOT,1,,,
