N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
15,RUE DES NOYERS,88,35,70,"50,00%"
17,RUE DES NOYERS,76,,,
1,RUE DES NOYERS,44,,,
30,RUE DES NOYERS,32,,,
16,RUE DES NOYERS,31,,,
16,RUE JEAN FAUCONNET,31,,,
20,RUE JEAN FAUCONNET,30,,,
14,RUE DES NOYERS,30,,,
44,RUE DES NOYERS,29,,,
36,RUE DES NOYERS,29,,,
18,RUE JEAN FAUCONNET,25,,,
25B,RUE DE TOURVIELLE,24,,,
38,RUE DES NOYERS,24,,,
34,RUE DES NOYERS,24,,,
46,RUE DES NOYERS,23,,,
17,RUE JEAN FAUCONNET,22,,,
106,RUE PIERRE VALDO,22,,,
7,RUE JEAN FAUCONNET,21,,,
15,RUE JEAN FAUCONNET,20,,,
12,RUE DES NOYERS,19,,,
112,RUE PIERRE VALDO,19,,,
114,RUE PIERRE VALDO,18,,,
110,RUE PIERRE VALDO,18,,,
42B,RUE DES NOYERS,17,,,
25,RUE JEAN FAUCONNET,17,,,
118,RUE PIERRE VALDO,17,,,
21,RUE JEAN FAUCONNET,16,,,
42,RUE DES NOYERS,16,,,
14B,RUE DES NOYERS,16,,,
22,RUE DES NOYERS,15,,,
23,RUE JEAN FAUCONNET,15,,,
116,RUE PIERRE VALDO,14,,,
7,RUE DES NOYERS,14,,,
108,RUE PIERRE VALDO,14,,,
19,RUE JEAN FAUCONNET,13,,,
5,RUE JEAN FAUCONNET,13,,,
15B,RUE DES NOYERS,13,,,
13,RUE DES NOYERS,12,,,
18,RUE DES NOYERS,12,,,
120,RUE PIERRE VALDO,12,,,
7B,RUE DES NOYERS,11,,,
28,RUE DES NOYERS,11,,,
29,RUE DE TOURVIELLE,10,,,
13,RUE MERE ELIZABETH RIVET,8,,,
25,RUE DE TOURVIELLE,6,,,
20,RUE DES NOYERS,5,,,
35,RUE DE TOURVIELLE,4,,,
30,RUE JEAN FAUCONNET,4,,,
32,RUE JEAN FAUCONNET,4,,,
31,RUE DE TOURVIELLE,4,,,
10,RUE DES NOYERS,4,,,
32,RUE DES NOYERS,4,,,
3,RUE MERE ELIZABETH RIVET,3,,,
9,RUE MERE ELIZABETH RIVET,3,,,
26,RUE DES NOYERS,3,,,
4B,RUE DES NOYERS,3,,,
9,RUE DES NOYERS,3,,,
17,RUE MERE ELIZABETH RIVET,2,,,
6,RUE DES NOYERS,2,,,
19,RUE MERE ELIZABETH RIVET,2,,,
40,RUE DES NOYERS,2,,,
17C,RUE DES NOYERS,2,,,
5,RUE MERE ELIZABETH RIVET,2,,,
11,RUE MERE ELIZABETH RIVET,2,,,
2,RUE DES NOYERS,2,,,
4,RUE DES NOYERS,2,,,
15,RUE MERE ELIZABETH RIVET,1,,,
24,RUE DES NOYERS,1,,,
11,RUE JEAN FAUCONNET,1,,,
28,RUE JEAN FAUCONNET,1,,,
11,RUE DES NOYERS,1,,,
