N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
3,RUE PIERRE BAIZET,64,,,
110,RUE DE SAINT CYR,41,,,
31,RUE MARECHAL DE LATTRE DE TASSIGNY,31,,,
39,RUE LOUIS BOUQUET,27,,,
176,RUE DE SAINT CYR,26,,,
36,RUE MARECHAL DE LATTRE DE TASSIGNY,26,,,
37,RUE LOUIS BOUQUET,24,,,
38,RUE MARECHAL DE LATTRE DE TASSIGNY,23,,,
33,RUE MARECHAL DE LATTRE DE TASSIGNY,22,,,
41,RUE LOUIS BOUQUET,21,,,
53,RUE PIERRE BAIZET,20,,,
180,AV. DU 25E REG. DES TIR. SENEGALAIS,18,,,
172,RUE DE SAINT CYR,18,,,
69,RUE DE SAINT CYR,18,,,
35,RUE MARECHAL DE LATTRE DE TASSIGNY,18,,,
40,RUE MARECHAL DE LATTRE DE TASSIGNY,17,,,
1,RUE DES CONTREBANDIERS,16,,,
35,AVENUE DOUAUMONT,15,,,
30,RUE MARECHAL DE LATTRE DE TASSIGNY,14,,,
22,RUE MARECHAL DE LATTRE DE TASSIGNY,13,,,
67,RUE DE SAINT CYR,12,,,
28,RUE MARECHAL DE LATTRE DE TASSIGNY,12,,,
27,AVENUE DOUAUMONT,11,,,
37,AVENUE DOUAUMONT,11,,,
39,AVENUE DOUAUMONT,11,,,
43,AVENUE DOUAUMONT,11,,,
47,AVENUE DOUAUMONT,11,,,
1B,RUE DES CONTREBANDIERS,11,,,
18,RUE MARECHAL DE LATTRE DE TASSIGNY,11,,,
26,RUE MARECHAL DE LATTRE DE TASSIGNY,11,,,
32,RUE MARECHAL DE LATTRE DE TASSIGNY,11,,,
47,RUE PIERRE BAIZET,11,,,
173,RUE DE SAINT CYR,10,,,
96,RUE DE SAINT CYR,10,,,
17,RUE DES RIVIERES,10,,,
20,RUE MARECHAL DE LATTRE DE TASSIGNY,10,,,
55,RUE PIERRE BAIZET,10,,,
23,AVENUE DOUAUMONT,9,,,
31,AVENUE DOUAUMONT,9,,,
98,RUE DE SAINT CYR,9,,,
46B,RUE PIERRE BAIZET,9,,,
19,AVENUE DOUAUMONT,8,,,
21,AVENUE DOUAUMONT,8,,,
33,AVENUE DOUAUMONT,8,,,
5,RUE MARECHAL DE LATTRE DE TASSIGNY,8,,,
24,RUE MARECHAL DE LATTRE DE TASSIGNY,7,,,
34,RUE MARECHAL DE LATTRE DE TASSIGNY,7,,,
114,RUE DE SAINT CYR,6,,,
29,AVENUE DOUAUMONT,5,,,
41,AVENUE DOUAUMONT,5,,,
45,AVENUE DOUAUMONT,5,,,
4,PASSAGE DU COTEAU,5,,,
157,RUE DE SAINT CYR,5,,,
14,RUE MARECHAL DE LATTRE DE TASSIGNY,5,,,
48,RUE PIERRE BAIZET,5,,,
216B,AV. DU 25E REG. DES TIR. SENEGALAIS,4,,,
16,AVENUE DOUAUMONT,4,,,
25,AVENUE DOUAUMONT,4,,,
169,RUE DE SAINT CYR,4,,,
1T,RUE DES CONTREBANDIERS,4,,,
10,RUE JEAN PERRIN,4,,,
74,RUE PIERRE BAIZET,4,,,
8,RUE PIERRE BAIZET,4,,,
1,AVENUE DOUAUMONT,3,,,
1B,AVENUE DOUAUMONT,3,,,
3,AVENUE DOUAUMONT,3,,,
7,AVENUE DOUAUMONT,3,,,
27,RUE ANTONIN LABORDE,3,,,
112,RUE DE SAINT CYR,3,,,
12,RUE JEAN PERRIN,3,,,
2,RUE JEAN PERRIN,3,,,
6,RUE JEAN PERRIN,3,,,
9,RUE JEAN PERRIN,3,,,
5,RUE LOUIS BOUQUET,3,,,
43,RUE PIERRE BAIZET,3,,,
59,RUE PIERRE BAIZET,3,,,
82,RUE PIERRE BAIZET,3,,,
202,AV. DU 25E REG. DES TIR. SENEGALAIS,2,,,
214,AV. DU 25E REG. DES TIR. SENEGALAIS,2,,,
10,AVENUE DOUAUMONT,2,,,
12,AVENUE DOUAUMONT,2,,,
13,AVENUE DOUAUMONT,2,,,
15,AVENUE DOUAUMONT,2,,,
17,AVENUE DOUAUMONT,2,,,
18,AVENUE DOUAUMONT,2,,,
2,AVENUE DOUAUMONT,2,,,
22,AVENUE DOUAUMONT,2,,,
