N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
3,RUE TRAMASSAC,25,,,
6,PLACE SAINT JEAN,23,,,
25,QUAI ROMAIN ROLLAND,22,,,
6,RUE SAINT ETIENNE,22,,,
59,MONTEE DU CHEMIN NEUF,21,,,
63,MONTEE DU CHEMIN NEUF,21,,,
4,RUE DU VIEL RENVERSE,20,,,
2,MONTEE DU CHEMIN NEUF,19,,,
3,RUE JEAN CARRIES,19,,,
4,RUE MONSEIGNEUR LAVARENNE,19,,,
3,AVENUE DU DOYENNE,18,,,
10,MONTEE DU CHEMIN NEUF,18,,,
27,QUAI ROMAIN ROLLAND,18,,,
8,PLACE SAINT JEAN,17,,,
3,AVENUE ADOLPHE MAX,16,,,
2,MONTEE DU GOURGUILLON,16,,,
1,AVENUE ADOLPHE MAX,15,,,
2,AVENUE DU DOYENNE,15,,,
1,QUAI FULCHIRON,15,,,
26,QUAI ROMAIN ROLLAND,15,,,
68,RUE SAINT JEAN,15,,,
5,AVENUE ADOLPHE MAX,14,,,
2,RUE SAINT GEORGES,14,,,
36,RUE TRAMASSAC,14,,,
3,RUE DU VIEL RENVERSE,13,,,
14,RUE SAINT GEORGES,13,,,
42,RUE TRAMASSAC,13,,,
6,AVENUE DU DOYENNE,12,,,
2,PLACE SAINT JEAN,12,,,
9,RUE DU DOYENNE,12,,,
8,RUE MONSEIGNEUR LAVARENNE,12,,,
7,AVENUE ADOLPHE MAX,10,,,
12,B MONTEE DU CHEMIN NEUF,10,,,
1,RUE BELLIEVRE,10,,,
1,RUE MARIUS GONIN,10,,,
39,RUE SAINT JEAN,10,,,
25,B QUAI ROMAIN ROLLAND,9,,,
4,MONTEE DU CHEMIN NEUF,9,,,
45,MONTEE SAINT BARTHELEMY,9,,,
7,QUAI FULCHIRON,9,,,
1,RUE TRAMASSAC,9,,,
50,RUE TRAMASSAC,9,,,
70,RUE SAINT JEAN,8,,,
16,MONTEE DU CHEMIN NEUF,7,,,
47,MONTEE SAINT BARTHELEMY,7,,,
10,RUE SAINT GEORGES,7,,,
27,RUE TRAMASSAC,7,,,
56,RUE TRAMASSAC,7,,,
18,MONTEE DU CHEMIN NEUF,6,,,
43,MONTEE SAINT BARTHELEMY,6,,,
4,RUE BELLIEVRE,6,,,
9,RUE BELLIEVRE,6,,,
1,RUE DES ANTONINS,6,,,
12,RUE DU DOYENNE,6,,,
7,RUE DU DOYENNE,6,,,
11,RUE FERRACHAT,6,,,
10,RUE MOURGUET,6,,,
30,RUE TRAMASSAC,6,,,
32,RUE TRAMASSAC,6,,,
33,MONTEE DU CHEMIN NEUF,5,,,
35,MONTEE DU CHEMIN NEUF,5,,,
2,QUAI FULCHIRON,5,,,
4,QUAI FULCHIRON,5,,,
6,QUAI FULCHIRON,5,,,
10,RUE DU VIEL RENVERSE,5,,,
4,RUE FERRACHAT,5,,,
4,RUE MOURGUET,5,,,
7,RUE SAINT GEORGES,5,,,
5,AVENUE DU DOYENNE,4,,,
12,MONTEE DU CHEMIN NEUF,4,,,
20,MONTEE DU CHEMIN NEUF,4,,,
49,MONTEE DU CHEMIN NEUF,4,,,
12,MONTEE DU GOURGUILLON,4,,,
3,MONTEE DU GOURGUILLON,4,,,
5,QUAI FULCHIRON,4,,,
8,RUE DU VIEL RENVERSE,4,,,
15,RUE FERRACHAT,4,,,
5,RUE JEAN CARRIES,4,,,
12,RUE MONSEIGNEUR LAVARENNE,4,,,
12,RUE MOURGUET,4,,,
12,RUE SAINT GEORGES,4,,,
6,RUE SAINT GEORGES,4,,,
34,RUE TRAMASSAC,4,,,
8,AVENUE DU DOYENNE,3,,,
14,MONTEE DU CHEMIN NEUF,3,,,
3,QUAI FULCHIRON,3,,,
1,RUE DU VIEL RENVERSE,3,,,
7,RUE DU VIEL RENVERSE,3,,,
1,RUE MOURGUET,3,,,
8,RUE MOURGUET,3,,,
52,RUE TRAMASSAC,3,,,
62,RUE TRAMASSAC,3,,,
4,AVENUE ADOLPHE MAX,2,,,
41,MONTEE DU CHEMIN NEUF,2,,,
12,RUE BELLIEVRE,2,,,
16,RUE DU DOYENNE,2,,,
12,RUE DU VIEL RENVERSE,2,,,
16,RUE FERRACHAT,2,,,
17,RUE FERRACHAT,2,,,
6,RUE MARIUS GONIN,2,,,
11,RUE MOURGUET,2,,,
3,RUE SAINT GEORGES,2,,,
4,RUE SAINT GEORGES,2,,,
8,RUE SAINT GEORGES,2,,,
25,RUE TRAMASSAC,2,,,
40,RUE TRAMASSAC,2,,,
60,RUE TRAMASSAC,2,,,
6,AVENUE ADOLPHE MAX,1,,,
31,AVENUE DU DOYENNE,1,,,
1,PLACE DE LA TRINITE,1,,,
14,RUE DU DOYENNE,1,,,
2,RUE DU DOYENNE,1,,,
6,RUE DU VIEL RENVERSE,1,,,
13,RUE FERRACHAT,1,,,
6,RUE MOURGUET,1,,,
58,RUE TRAMASSAC,1,,,
