N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
4,RUE DE LA PIEMENTE,72,,,
8,RUE DE LA PIEMENTE,65,,,
341,RUE DE LA PIEMENTE,62,,,
6,RUE DE LA PIEMENTE,59,,,
342,RUE DE LA PIEMENTE,56,,,
314,AVENUE ANDREI SAKHAROV,53,,,
2,RUE DE LA PIEMENTE,49,,,
310,AVENUE ANDREI SAKHAROV,46,,,
316,AVENUE ANDREI SAKHAROV,42,,,
319,AVENUE ANDREI SAKHAROV,39,,,
315,AVENUE ANDREI SAKHAROV,23,,,
313,AVENUE ANDREI SAKHAROV,21,,,
318,AVENUE ANDREI SAKHAROV,18,,,
311,AVENUE ANDREI SAKHAROV,17,,,
312,AVENUE ANDREI SAKHAROV,15,,,
317,AVENUE ANDREI SAKHAROV,14,,,
341B,RUE DE LA PIEMENTE,5,,,
304,AVENUE ANDREI SAKHAROV,4,,,
107B,AV. DU 25E REG. DES TIR. SENEGALAIS,3,,,
342B,RUE DE LA PIEMENTE,3,,,
105,AV. DU 25E REG. DES TIR. SENEGALAIS,2,,,
342A,RUE DE LA PIEMENTE,2,,,
342C,RUE DE LA PIEMENTE,2,,,
103,AV. DU 25E REG. DES TIR. SENEGALAIS,1,,,
315B,AVENUE ANDREI SAKHAROV,1,,,
317,Avenue Andrei Sakharov,1,,,
346,AVENUE ANDREI SAKHAROV,1,,,
334,RUE DE LA PIEMENTE,1,,,
