N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
10,RUE DES TOURELLES,64,23,59,"38,98%"
12,RUE DES TOURELLES,50,9,23,"39,13%"
14,RUE DES TOURELLES,45,11,35,"31,43%"
1,RUE DE L ANTIQUAILLE,40,,,
16,RUE DES TOURELLES,40,,,
18,RUE DES TOURELLES,32,,,
16,RUE ROGER RADISSON,31,,,
12,RUE DES FARGES,27,,,
18,B RUE ROGER RADISSON,25,,,
2,RUE DES FARGES,23,,,
39,RUE DES FARGES,23,,,
1,PLACE ABBE LARUE,21,,,
8,RUE DES FARGES,20,,,
16,B RUE ROGER RADISSON,19,,,
4,RUE DES FARGES,19,,,
18,RUE ROGER RADISSON,19,,,
32,RUE ROGER RADISSON,19,,,
14,RUE DES FARGES,18,,,
36,RUE ROGER RADISSON,16,,,
30,RUE ROGER RADISSON,14,,,
34,RUE ROGER RADISSON,13,,,
38,RUE ROGER RADISSON,13,,,
13,RUE PROFESSEUR PIERRE MARION,12,,,
6,RUE CLEBERG,11,,,
10,RUE DES FARGES,11,,,
25,RUE DES FARGES,11,,,
20,RUE ROGER RADISSON,11,,,
29,RUE DES FARGES,10,,,
6,RUE DES FARGES,10,,,
28,RUE ROGER RADISSON,10,,,
20,B RUE ROGER RADISSON,9,,,
1,RUE DES FARGES,8,,,
19,RUE DES FARGES,7,,,
41,RUE DES FARGES,7,,,
5,RUE DES FARGES,7,,,
3,PLACE DES MINIMES,6,,,
21,RUE DES FARGES,6,,,
3,RUE DES FARGES,6,,,
37,RUE DES FARGES,6,,,
8,RUE ROGER RADISSON,6,,,
3,MONTEE CARDINAL DECOURTRAY,5,,,
23,RUE DES FARGES,5,,,
33,RUE DES FARGES,5,,,
3,RUE DES TOURELLES,5,,,
39,B RUE DES FARGES,4,,,
7,MONTEE CARDINAL DECOURTRAY,4,,,
9,PLACE DES MINIMES,4,,,
16,RUE DES FARGES,4,,,
47,RUE DES FARGES,4,,,
1,B PLACE DES MINIMES,3,,,
21,MONTEE CARDINAL DECOURTRAY,3,,,
43,RUE DES FARGES,3,,,
14,RUE ROGER RADISSON,3,,,
26,RUE ROGER RADISSON,3,,,
9,B PLACE DES MINIMES,2,,,
13,MONTEE CARDINAL DECOURTRAY,2,,,
15,MONTEE CARDINAL DECOURTRAY,2,,,
23,MONTEE CARDINAL DECOURTRAY,2,,,
25,MONTEE CARDINAL DECOURTRAY,2,,,
5,MONTEE CARDINAL DECOURTRAY,2,,,
9,MONTEE CARDINAL DECOURTRAY,2,,,
7,RUE DES TOURELLES,2,,,
1,MONTEE CARDINAL DECOURTRAY,1,,,
11,MONTEE CARDINAL DECOURTRAY,1,,,
5,MONTEE DE FOURVIERE,1,,,
5,PLACE ABBE LARUE,1,,,
9,PLACE ABBE LARUE,1,,,
1,PLACE DES MINIMES,1,,,
45,RUE DES FARGES,1,,,
24,RUE ROGER RADISSON,1,,,
4,RUE ROGER RADISSON,1,,,
