N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
2,PLACE JEAN MONNET,54,,,
3,PLACE JEAN MONNET,47,,,
26,RUE DU CHAPEAU ROUGE,40,,,
1,PLACE DE LA RHODIACETA,39,,,
1,PLACE JEAN MONNET,37,,,
2,PLACE DE LA RHODIACETA,35,,,
4,RUE JEAN MARIE LECLAIR,34,,,
73,AVENUE RENE CASSIN,32,,,
51,RUE SERGENT MICHEL BERTHET,32,,,
55B,AVENUE RENE CASSIN,31,,,
10,RUE JEAN MARIE LECLAIR,31,,,
8,RUE JEAN MARIE LECLAIR,31,,,
17,AVENUE RENE CASSIN,29,,,
9,RUE DU CHAPEAU ROUGE,29,,,
49,RUE SERGENT MICHEL BERTHET,27,,,
30,RUE DU CHAPEAU ROUGE,26,,,
6,RUE JEAN MARIE LECLAIR,23,,,
69,AVENUE RENE CASSIN,22,,,
24,RUE DU CHAPEAU ROUGE,22,,,
5,RUE DU CHAPEAU ROUGE,22,,,
3,RUE SAINT PIERRE DE VAISE,21,,,
1,RUE DU CHAPEAU ROUGE,19,,,
53,RUE DU CHAPEAU ROUGE,19,,,
53,RUE SERGENT MICHEL BERTHET,19,,,
51B,RUE SERGENT MICHEL BERTHET,18,,,
14,RUE DU CHAPEAU ROUGE,17,,,
36,GRANDE RUE DE VAISE,16,,,
49B,RUE SERGENT MICHEL BERTHET,16,,,
53B,RUE SERGENT MICHEL BERTHET,14,,,
71,AVENUE RENE CASSIN,13,,,
6,RUE DU MARCHE,13,,,
2,RUE SAINT PIERRE DE VAISE,12,,,
16,RUE SAINT PIERRE DE VAISE,11,,,
39B,RUE SERGENT MICHEL BERTHET,11,,,
51T,RUE SERGENT MICHEL BERTHET,11,,,
24,GRANDE RUE DE VAISE,8,,,
1,RUE SAINT PIERRE DE VAISE,8,,,
4,RUE DU MARCHE,7,,,
2,PLACE DU MARCHE,6,,,
3,RUE DU MARCHE,6,,,
12,RUE SAINT PIERRE DE VAISE,6,,,
14,RUE SAINT PIERRE DE VAISE,6,,,
57,RUE SERGENT MICHEL BERTHET,6,,,
55,AVENUE RENE CASSIN,5,,,
20,BOULEVARD ANTOINE DE SAINT EXUPERY,5,,,
32,GRANDE RUE DE VAISE,5,,,
20,RUE DU CHAPEAU ROUGE,5,,,
10,RUE SAINT PIERRE DE VAISE,5,,,
26,GRANDE RUE DE VAISE,4,,,
28,GRANDE RUE DE VAISE,4,,,
1,IMPASSE CHARAVAY,4,,,
3,PLACE ALFRED VANDERPOL,4,,,
2,RUE DU MARCHE,4,,,
1,PLACE DU MARCHE,3,,,
43,RUE DU CHAPEAU ROUGE,3,,,
1,RUE DU MARCHE,3,,,
24,RUE SAINT PIERRE DE VAISE,3,,,
8,RUE SAINT PIERRE DE VAISE,3,,,
3,BOULEVARD ANTOINE DE SAINT EXUPERY,2,,,
22,GRANDE RUE DE VAISE,2,,,
34,GRANDE RUE DE VAISE,2,,,
38,GRANDE RUE DE VAISE,2,,,
39,RUE SERGENT MICHEL BERTHET,2,,,
59,RUE SERGENT MICHEL BERTHET,2,,,
30,GRANDE RUE DE VAISE,1,,,
40,GRANDE RUE DE VAISE,1,,,
9,PLACE JEAN MONNET,1,,,
2,RUE DU CHAPEAU ROUGE,1,,,
20,RUE SAINT PIERRE DE VAISE,1,,,
22,RUE SAINT PIERRE DE VAISE,1,,,
6,RUE SAINT PIERRE DE VAISE,1,,,
43,RUE SERGENT MICHEL BERTHET,1,,,
45,RUE SERGENT MICHEL BERTHET,1,,,
