N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
50,RUE JOLIOT CURIE,200,,,
70,RUE JOLIOT CURIE,39,,,
68,RUE JOLIOT CURIE,33,,,
31,AVENUE DE MENIVAL,29,9,22,"40,91%"
3,AVENUE DE MENIVAL,28,,,
96,RUE JOLIOT CURIE,25,,,
35,AVENUE DE MENIVAL,24,,,
7,AVENUE DE MENIVAL,23,,,
92,RUE JOLIOT CURIE,21,,,
94,RUE JOLIOT CURIE,20,,,
98,RUE JOLIOT CURIE,18,,,
18,RUE NICOLAS SICARD,16,,,
36,RUE NICOLAS SICARD,15,,,
11,AVENUE GENERAL EISENHOWER,15,,,
9,AVENUE GENERAL EISENHOWER,15,,,
52,RUE JOLIOT CURIE,13,,,
34,RUE NICOLAS SICARD,13,,,
33,AVENUE DE MENIVAL,13,12,23,"52,17%"
15,AVENUE GENERAL EISENHOWER,12,,,
9,AVENUE DE MENIVAL,12,,,
5,AVENUE DE MENIVAL,12,,,
17,AVENUE GENERAL EISENHOWER,11,,,
40,RUE NICOLAS SICARD,10,,,
19,AVENUE GENERAL EISENHOWER,10,,,
11,AVENUE DE MENIVAL,10,,,
8,RUE NICOLAS SICARD,10,,,
38,RUE NICOLAS SICARD,9,,,
16,RUE NICOLAS SICARD,8,,,
5,AVENUE GENERAL EISENHOWER,8,,,
25,AVENUE DE MENIVAL,7,,,
13,AVENUE GENERAL EISENHOWER,7,,,
7,AVENUE GENERAL EISENHOWER,7,,,
3,AVENUE GENERAL EISENHOWER,7,,,
6,RUE NICOLAS SICARD,6,,,
14,RUE NICOLAS SICARD,3,,,
43,AVENUE DE MENIVAL,2,,,
20,RUE NICOLAS SICARD,2,,,
74,RUE JOLIOT CURIE,1,,,
32,RUE NICOLAS SICARD,1,,,
30,RUE NICOLAS SICARD,1,,,
26,RUE NICOLAS SICARD,1,,,
24,RUE NICOLAS SICARD,1,,,
22,RUE NICOLAS SICARD,1,,,
2,RUE NICOLAS SICARD,1,,,
