N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
4,RUE PIERRE TERMIER,41,,,
18,CHEMIN DE MONTESSUY,39,,,
12,RUE PIERRE TERMIER,39,,,
70,MONTEE DES BALMES,38,,,
26,RUE CHARLES PORCHER,36,,,
8,RUE CHARLES PORCHER,35,,,
16,RUE DES DOCTEURS CORDIER,32,,,
12,RUE CHARLES PORCHER,27,,,
16,RUE CHARLES PORCHER,27,,,
14,RUE DES DOCTEURS CORDIER,27,,,
14,RUE CHARLES PORCHER,26,,,
18,RUE DES DOCTEURS CORDIER,26,,,
1,RUE ALBERT FALSAN,25,,,
3,RUE ALBERT FALSAN,24,,,
18,RUE PIERRE TERMIER,24,,,
22,RUE PIERRE TERMIER,24,,,
14,RUE PIERRE TERMIER,23,,,
55,CHEMIN DES CHARBOTTES,22,,,
13,RUE ALBERT FALSAN,21,,,
22,RUE SYLVAIN SIMONDAN,21,,,
25,RUE ALBERT FALSAN,20,,,
27,RUE ALBERT FALSAN,20,,,
8,RUE PIERRE TERMIER,20,,,
2,RUE PIERRE TERMIER,19,,,
4,RUE CHARLES PORCHER,18,,,
20,RUE PIERRE TERMIER,18,,,
6,RUE PIERRE TERMIER,18,,,
11,RUE ALBERT FALSAN,17,,,
10,RUE SYLVAIN SIMONDAN,17,,,
23,RUE ALBERT FALSAN,16,,,
10,RUE CHARLES PORCHER,16,,,
24,RUE SYLVAIN SIMONDAN,16,,,
28,RUE SYLVAIN SIMONDAN,16,,,
30,RUE SYLVAIN SIMONDAN,16,,,
12,RUE SYLVAIN SIMONDAN,15,,,
26,RUE DE PIERRE TERMIER,14,,,
15,RUE SYLVAIN SIMONDAN,14,,,
15,RUE ALBERT FALSAN,13,,,
2,RUE CHARLES PORCHER,13,,,
19,RUE ALBERT FALSAN,12,,,
33,RUE ALBERT FALSAN,12,,,
10,RUE PIERRE TERMIER,12,,,
29,RUE SYLVAIN SIMONDAN,12,,,
31,RUE SYLVAIN SIMONDAN,11,,,
33,RUE SYLVAIN SIMONDAN,11,,,
25,RUE SYLVAIN SIMONDAN,10,,,
74,MONTEE DES BALMES,9,,,
9,RUE ALBERT FALSAN,9,,,
16,RUE PIERRE TERMIER,9,,,
26,RUE SYLVAIN SIMONDAN,9,,,
3B,CHEMIN DE MONTESSUY,8,,,
2,MONTEE DES BALMES,8,,,
24,RUE PIERRE TERMIER,8,,,
27,RUE SYLVAIN SIMONDAN,8,,,
6,RUE SYLVAIN SIMONDAN,8,,,
21,RUE ALBERT FALSAN,7,,,
62,RUE ALBERT FALSAN,7,,,
17,RUE ALBERT FALSAN,6,,,
1,RUE JEAN BAPTISTE COUTY,6,,,
11,RUE SYLVAIN SIMONDAN,6,,,
21,RUE SYLVAIN SIMONDAN,6,,,
32,RUE SYLVAIN SIMONDAN,6,,,
54,CHEMIN DES CHARBOTTES,5,,,
78,CHEMIN DES CHARBOTTES,5,,,
34,CHEMIN DU PETIT MONTESSUY,5,,,
61,RUE ALBERT FALSAN,5,,,
30,RUE DES DOCTEURS CORDIER,5,,,
66,RUE PIERRE TERMIER,5,,,
17,RUE SYLVAIN SIMONDAN,5,,,
23,RUE SYLVAIN SIMONDAN,5,,,
13,CHEMIN DE MONTESSUY,4,,,
2T,CHEMIN DE MONTESSUY,4,,,
4,CHEMIN DE MONTESSUY,4,,,
103,CHEMIN DES CHARBOTTES,4,,,
42,CHEMIN DES CHARBOTTES,4,,,
45,CHEMIN DES CHARBOTTES,4,,,
46,CHEMIN DES CHARBOTTES,4,,,
93,CHEMIN DES CHARBOTTES,4,,,
95,CHEMIN DES CHARBOTTES,4,,,
1,CHEMIN DU PETIT MONTESSUY,4,,,
31,CHEMIN DU PETIT MONTESSUY,4,,,
34,RUE ALBERT FALSAN,4,,,
49,RUE ALBERT FALSAN,4,,,
50,RUE ALBERT FALSAN,4,,,
28,RUE PIERRE TERMIER,4,,,
17T,RUE SYLVAIN SIMONDAN,4,,,
10,CHEMIN DE MONTESSUY,3,,,
10B,CHEMIN DE MONTESSUY,3,,,
12,CHEMIN DE MONTESSUY,3,,,
32,CHEMIN DE MONTESSUY,3,,,
5B,CHEMIN DE MONTESSUY,3,,,
101,CHEMIN DES CHARBOTTES,3,,,
107,CHEMIN DES CHARBOTTES,3,,,
111,CHEMIN DES CHARBOTTES,3,,,
113,CHEMIN DES CHARBOTTES,3,,,
34,CHEMIN DES CHARBOTTES,3,,,
36,CHEMIN DES CHARBOTTES,3,,,
44,CHEMIN DES CHARBOTTES,3,,,
67,CHEMIN DES CHARBOTTES,3,,,
72,CHEMIN DES CHARBOTTES,3,,,
74,CHEMIN DES CHARBOTTES,3,,,
77,CHEMIN DES CHARBOTTES,3,,,
79,CHEMIN DES CHARBOTTES,3,,,
83,CHEMIN DES CHARBOTTES,3,,,
24,CHEMIN DU PETIT MONTESSUY,3,,,
78,MONTEE DES BALMES,3,,,
80,MONTEE DES BALMES,3,,,
84,MONTEE DES BALMES,3,,,
54,RUE ALBERT FALSAN,3,,,
58,RUE ALBERT FALSAN,3,,,
59,RUE ALBERT FALSAN,3,,,
26,RUE CLAUDE LE LABOUREUR,3,,,
8,RUE JEAN BAPTISTE COUTY,3,,,
30,RUE PIERRE TERMIER,3,,,
19,RUE SYLVAIN SIMONDAN,3,,,
8,RUE SYLVAIN SIMONDAN,3,,,
10T,CHEMIN DE MONTESSUY,2,,,
12T,CHEMIN DE MONTESSUY,2,,,
14,CHEMIN DE MONTESSUY,2,,,
6,CHEMIN DE MONTESSUY,2,,,
6B,CHEMIN DE MONTESSUY,2,,,
8,CHEMIN DE MONTESSUY,2,,,
8T,CHEMIN DE MONTESSUY,2,,,
105,CHEMIN DES CHARBOTTES,2,,,
32,CHEMIN DES CHARBOTTES,2,,,
38,CHEMIN DES CHARBOTTES,2,,,
40,CHEMIN DES CHARBOTTES,2,,,
43,CHEMIN DES CHARBOTTES,2,,,
48,CHEMIN DES CHARBOTTES,2,,,
49,CHEMIN DES CHARBOTTES,2,,,
50,CHEMIN DES CHARBOTTES,2,,,
52,CHEMIN DES CHARBOTTES,2,,,
56,CHEMIN DES CHARBOTTES,2,,,
70,CHEMIN DES CHARBOTTES,2,,,
71,CHEMIN DES CHARBOTTES,2,,,
75,CHEMIN DES CHARBOTTES,2,,,
81,CHEMIN DES CHARBOTTES,2,,,
85,CHEMIN DES CHARBOTTES,2,,,
86,CHEMIN DES CHARBOTTES,2,,,
87,CHEMIN DES CHARBOTTES,2,,,
91,CHEMIN DES CHARBOTTES,2,,,
99,CHEMIN DES CHARBOTTES,2,,,
19,CHEMIN DU PETIT MONTESSUY,2,,,
2,CHEMIN DU PETIT MONTESSUY,2,,,
23,CHEMIN DU PETIT MONTESSUY,2,,,
27,CHEMIN DU PETIT MONTESSUY,2,,,
28,CHEMIN DU PETIT MONTESSUY,2,,,
29,CHEMIN DU PETIT MONTESSUY,2,,,
30,CHEMIN DU PETIT MONTESSUY,2,,,
40,CHEMIN DU PETIT MONTESSUY,2,,,
1,IMPASSE DE LA MOUCHONNE,2,,,
36,RUE ALBERT FALSAN,2,,,
40,RUE ALBERT FALSAN,2,,,
41,RUE ALBERT FALSAN,2,,,
44,RUE ALBERT FALSAN,2,,,
47,RUE ALBERT FALSAN,2,,,
48,RUE ALBERT FALSAN,2,,,
53,RUE ALBERT FALSAN,2,,,
55,RUE ALBERT FALSAN,2,,,
56,RUE ALBERT FALSAN,2,,,
57,RUE ALBERT FALSAN,2,,,
60,RUE ALBERT FALSAN,2,,,
28,RUE CLAUDE LE LABOUREUR,2,,,
4,RUE JEAN BAPTISTE COUTY,2,,,
70,RUE PIERRE TERMIER,2,,,
14,RUE SYLVAIN SIMONDAN,2,,,
12B,CHEMIN DE MONTESSUY,1,,,
15,CHEMIN DE MONTESSUY,1,,,
17,CHEMIN DE MONTESSUY,1,,,
22,CHEMIN DE MONTESSUY,1,,,
23,CHEMIN DE MONTESSUY,1,,,
40,CHEMIN DE MONTESSUY,1,,,
4T,CHEMIN DE MONTESSUY,1,,,
5,CHEMIN DE MONTESSUY,1,,,
6T,CHEMIN DE MONTESSUY,1,,,
7,CHEMIN DE MONTESSUY,1,,,
55B,CHEMIN DES CHARBOTTES,1,,,
69,CHEMIN DES CHARBOTTES,1,,,
73,CHEMIN DES CHARBOTTES,1,,,
76,CHEMIN DES CHARBOTTES,1,,,
82,CHEMIN DES CHARBOTTES,1,,,
89,CHEMIN DES CHARBOTTES,1,,,
97,CHEMIN DES CHARBOTTES,1,,,
11,CHEMIN DU PETIT MONTESSUY,1,,,
14,CHEMIN DU PETIT MONTESSUY,1,,,
17B,CHEMIN DU PETIT MONTESSUY,1,,,
25,CHEMIN DU PETIT MONTESSUY,1,,,
26,CHEMIN DU PETIT MONTESSUY,1,,,
32,CHEMIN DU PETIT MONTESSUY,1,,,
7,CHEMIN DU PETIT MONTESSUY,1,,,
2,IMPASSE DE LA MOUCHONNE,1,,,
92,MONTEE DES BALMES,1,,,
98,MONTEE DES BALMES,1,,,
46,RUE ALBERT FALSAN,1,,,
51,RUE ALBERT FALSAN,1,,,
55B,RUE ALBERT FALSAN,1,,,
63,RUE ALBERT FALSAN,1,,,
18,RUE CHARLES PORCHER,1,,,
6,RUE CHARLES PORCHER,1,,,
5,RUE JEAN BAPTISTE COUTY,1,,,
6,RUE JEAN BAPTISTE COUTY,1,,,
13B,RUE SYLVAIN SIMONDAN,1,,,
16,RUE SYLVAIN SIMONDAN,1,,,
