N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
29,RUE DU 24 MARS 1852,40,,,
52,RUE LAURE DIEBOLD,35,,,
31,RUE DU 24 MARS 1852,33,,,
33,RUE DU 24 MARS 1852,30,,,
14,RUE LAURE DIEBOLD,26,,,
52B,RUE LAURE DIEBOLD,25,,,
32,RUE MARIETTON,25,,,
7,RUE DE BOURGOGNE,22,,,
82,RUE MARIETTON,22,,,
5,RUE DE BOURGOGNE,20,,,
34,RUE MARIETTON,20,,,
27,RUE DU 24 MARS 1852,19,,,
15,RUE DE BOURGOGNE,18,,,
9,RUE DE BOURGOGNE,18,,,
6,RUE NERARD,18,,,
8,RUE NERARD,18,,,
27,RUE DE BOURGOGNE,17,,,
32,RUE DU 24 MARS 1852,17,,,
17,RUE TISSOT,17,,,
93,AV. DU 25E REG. DES TIR. SENEGALAIS,16,,,
95,AV. DU 25E REG. DES TIR. SENEGALAIS,16,,,
97,AV. DU 25E REG. DES TIR. SENEGALAIS,16,,,
26,RUE DU 24 MARS 1852,16,,,
48,RUE MARIETTON,16,,,
29,RUE DE BOURGOGNE,15,,,
35,RUE DU 24 MARS 1852,15,,,
4,RUE LAURE DIEBOLD,15,,,
40,RUE MARIETTON,15,,,
10,RUE NERARD,15,,,
4,RUE NERARD,15,,,
3,RUE SAINT SIMON,15,,,
99,AV. DU 25E REG. DES TIR. SENEGALAIS,14,,,
25,RUE DE BOURGOGNE,14,,,
33B,RUE DU 24 MARS 1852,14,,,
91,AV. DU 25E REG. DES TIR. SENEGALAIS,13,,,
91B,AV. DU 25E REG. DES TIR. SENEGALAIS,13,,,
9B,RUE DE BOURGOGNE,13,,,
3,IMPASSE PAQUET MEREL,12,,,
11,RUE DE BOURGOGNE,12,,,
11B,RUE DE BOURGOGNE,12,,,
17,RUE LAURE DIEBOLD,12,,,
6,RUE LAURE DIEBOLD,12,,,
1,IMPASSE PAQUET MEREL,11,,,
2,RUE TISSOT,11,,,
101,AV. DU 25E REG. DES TIR. SENEGALAIS,10,,,
7,IMPASSE DES JARDINS,10,,,
5,IMPASSE PAQUET MEREL,10,,,
36,RUE MARIETTON,10,,,
42,RUE MARIETTON,10,,,
64,RUE MARIETTON,10,,,
7B,RUE DE BOURGOGNE,9,,,
108,RUE MARIETTON,9,,,
89B,AV. DU 25E REG. DES TIR. SENEGALAIS,8,,,
52,RUE MARIETTON,8,,,
17,RUE SAINT SIMON,8,,,
89,AV. DU 25E REG. DES TIR. SENEGALAIS,7,,,
9,IMPASSE DES JARDINS,7,,,
63,RUE DE BOURGOGNE,7,,,
4,RUE DE LA GARE,7,,,
108B,RUE MARIETTON,7,,,
80,RUE MARIETTON,7,,,
10,RUE SAINT SIMON,7,,,
67,RUE DE BOURGOGNE,6,,,
8,RUE LAURE DIEBOLD,6,,,
54,BOULEVARD DE LA DUCHERE,5,,,
9,IMPASSE PAQUET MEREL,5,,,
25,RUE BERJON,5,,,
31,RUE DE BOURGOGNE,5,,,
51,RUE DE BOURGOGNE,5,,,
55,RUE DE BOURGOGNE,5,,,
61,RUE DE BOURGOGNE,5,,,
65,RUE DE BOURGOGNE,5,,,
63,RUE DE LA CLAIRE,5,,,
1,RUE DE LA GARE,5,,,
46,RUE MARIETTON,5,,,
54,RUE MARIETTON,5,,,
56,RUE MARIETTON,5,,,
9,RUE SAINT SIMON,5,,,
1,IMPASSE DE LA COURTILLE,4,,,
3,IMPASSE DE LA COURTILLE,4,,,
11,IMPASSE DES JARDINS,4,,,
13,RUE DE BOURGOGNE,4,,,
33,RUE DE BOURGOGNE,4,,,
57,RUE DE BOURGOGNE,4,,,
10,RUE LAURE DIEBOLD,4,,,
62,RUE MARIETTON,4,,,
10,IMPASSE DES JARDINS,3,,,
4,IMPASSE DES JARDINS,3,,,
35,RUE DE BOURGOGNE,3,,,
49,RUE DE BOURGOGNE,3,,,
53,RUE DE BOURGOGNE,3,,,
42,RUE LAURE DIEBOLD,3,,,
104,RUE MARIETTON,3,,,
44,RUE MARIETTON,3,,,
50,RUE MARIETTON,3,,,
1,RUE NERARD,3,,,
14,RUE NERARD,3,,,
9,RUE NERARD,3,,,
19,RUE SAINT SIMON,3,,,
18,RUE TISSOT,3,,,
7,IMPASSE PAQUET MEREL,2,,,
22,RUE LAURE DIEBOLD,2,,,
50B,RUE LAURE DIEBOLD,2,,,
10B,RUE SAINT SIMON,2,,,
21,RUE SAINT SIMON,2,,,
7,RUE SAINT SIMON,2,,,
9B,RUE SAINT SIMON,2,,,
15,RUE TISSOT,2,,,
246,IMPASSE DE LA DUCHERE,1,,,
23,RUE BERJON,1,,,
45,RUE DE BOURGOGNE,1,,,
47,RUE DE BOURGOGNE,1,,,
124,RUE MARIETTON,1,,,
50B,RUE MARIETTON,1,,,
13,RUE SAINT SIMON,1,,,
15,RUE SAINT SIMON,1,,,
15B,RUE SAINT SIMON,1,,,
6,RUE TISSOT,1,,,
