N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
107,AVENUE BARTHELEMY BUYER,85,,,
111,AVENUE BARTHELEMY BUYER,76,,,
99,AVENUE BARTHELEMY BUYER,75,,,
101,AVENUE BARTHELEMY BUYER,60,,,
55,AVENUE BARTHELEMY BUYER,41,,,
35,AVENUE BARTHELEMY BUYER,37,,,
3,RUE DES PEPINIERES,37,,,
55,B AVENUE BARTHELEMY BUYER,31,,,
45,AVENUE BARTHELEMY BUYER,30,,,
53,AVENUE BARTHELEMY BUYER,30,,,
51,AVENUE BARTHELEMY BUYER,29,,,
57,RUE BENOIST MARY,26,,,
61,RUE BENOIST MARY,23,,,
49,AVENUE BARTHELEMY BUYER,20,,,
1,RUE DES PEPINIERES,19,,,
65,RUE BENOIST MARY,17,,,
43,AVENUE BARTHELEMY BUYER,16,,,
63,RUE BENOIST MARY,16,,,
5,AVENUE BARTHELEMY BUYER,15,,,
33,AVENUE BARTHELEMY BUYER,13,,,
53,B AVENUE BARTHELEMY BUYER,13,,,
13,AVENUE BARTHELEMY BUYER,12,,,
47,AVENUE BARTHELEMY BUYER,12,,,
39,RUE BENOIST MARY,12,,,
11,AVENUE BARTHELEMY BUYER,10,,,
4,RUE DES QUATRE COLONNES,10,,,
45,RUE BENOIST MARY,9,,,
8,RUE DES QUATRE COLONNES,8,,,
17,AVENUE BARTHELEMY BUYER,7,,,
34,RUE BENOIST MARY,7,,,
41,RUE BENOIST MARY,7,,,
79,AVENUE BARTHELEMY BUYER,6,,,
31,RUE BENOIST MARY,6,,,
11,RUE DES QUATRE COLONNES,6,,,
7,RUE SAINT FIACRE,6,,,
8,RUE SAINT FIACRE,6,,,
21,AVENUE BARTHELEMY BUYER,5,,,
20,RUE BENOIST MARY,5,,,
59,RUE BENOIST MARY,5,,,
19,RUE BENOIST MARY,4,,,
27,RUE BENOIST MARY,4,,,
55,RUE BENOIST MARY,4,,,
12,RUE DES PEPINIERES,4,,,
14,RUE DES PEPINIERES,4,,,
17,RUE DES PEPINIERES,4,,,
6,RUE DES PEPINIERES,4,,,
8,RUE DES PEPINIERES,4,,,
3,RUE DES QUATRE COLONNES,4,,,
1,RUE SAINT FIACRE,4,,,
3,RUE SAINT FIACRE,4,,,
19,AVENUE BARTHELEMY BUYER,3,,,
25,AVENUE BARTHELEMY BUYER,3,,,
7,AVENUE BARTHELEMY BUYER,3,,,
22,RUE BENOIST MARY,3,,,
29,RUE BENOIST MARY,3,,,
37,RUE BENOIST MARY,3,,,
47,RUE BENOIST MARY,3,,,
49,RUE BENOIST MARY,3,,,
76,RUE BENOIST MARY,3,,,
82,RUE BENOIST MARY,3,,,
6,RUE DES QUATRE COLONNES,3,,,
12,RUE SAINT FIACRE,3,,,
55,B AVENUE BARTHELEMY BUYER,2,,,
5,B AVENUE BARTHELEMY BUYER,2,,,
3,AVENUE BARTHELEMY BUYER,2,,,
15,B RUE BENOIST MARY,2,,,
55,B RUE BENOIST MARY,2,,,
4,B RUE DES QUATRE COLONNES,2,,,
30,RUE BENOIST MARY,2,,,
36,RUE BENOIST MARY,2,,,
38,RUE BENOIST MARY,2,,,
43,RUE BENOIST MARY,2,,,
52,RUE BENOIST MARY,2,,,
68,RUE BENOIST MARY,2,,,
80,RUE BENOIST MARY,2,,,
9,RUE DES QUATRE COLONNES,2,,,
5,RUE SAINT FIACRE,2,,,
6,RUE SAINT FIACRE,2,,,
4,T RUE DES QUATRE COLONNES,2,,,
53,B AVENUE BARTHELEMY BUYER,1,,,
7,B RUE SAINT FIACRE,1,,,
107,B AVENUE BARTHELEMY BUYER,1,,,
5,B AVENUE BARTHELEMY BUYER,1,,,
8,B RUE DES PEPINIERES,1,,,
7,B RUE SAINT FIACRE,1,,,
17,RUE BENOIST MARY,1,,,
21,RUE BENOIST MARY,1,,,
74,RUE BENOIST MARY,1,,,
10,RUE DES PEPINIERES,1,,,
18,RUE DES PEPINIERES,1,,,
5,RUE DES QUATRE COLONNES,1,,,
10,RUE SAINT FIACRE,1,,,
