N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
27,RUE DU BOURBONNAIS,100,,,
21,RUE DU BOURBONNAIS,87,,,
23,RUE DU BOURBONNAIS,66,,,
25,RUE DU BOURBONNAIS,63,,,
42,RUE DU BOURBONNAIS,58,,,
14,RUE DES TUILERIES,56,,,
24,RUE DES TUILERIES,53,,,
31,RUE DU BOURBONNAIS,48,,,
18,RUE DES TUILERIES,47,,,
29,RUE DU BOURBONNAIS,47,,,
38,RUE DU BOURBONNAIS,36,,,
38B,RUE DU BOURBONNAIS,36,,,
38T,RUE DU BOURBONNAIS,35,,,
20,RUE DU BOURBONNAIS,26,,,
5,PASSAGE MAS,24,,,
16,RUE DES TUILERIES,21,,,
2,RUE DES TUILERIES,21,,,
3,PASSAGE MAS,20,,,
18B,RUE DES TUILERIES,19,,,
51,RUE MARIETTON,17,,,
16,RUE DU BOURBONNAIS,16,,,
10,PLACE DUMAS DE LOIRE,15,,,
26,RUE DES TUILERIES,15,,,
47,RUE MARIETTON,15,,,
49,RUE MARIETTON,14,,,
27,PLACE VALMY,13,,,
22,RUE DES TUILERIES,13,,,
24B,RUE DES TUILERIES,13,,,
4,RUE DES TUILERIES,13,,,
8,PLACE DUMAS DE LOIRE,12,,,
35,RUE MARIETTON,12,,,
7,RUE DE L OISELIERE,11,,,
6,RUE JOUFFROY D ABBANS,11,,,
28,RUE DES TUILERIES,10,,,
29,RUE MARIETTON,10,,,
2,PASSAGE MAS,8,,,
7,PLACE DUMAS DE LOIRE,8,,,
9,PLACE DUMAS DE LOIRE,8,,,
13,RUE DE L OISELIERE,8,,,
3,RUE DE L OISELIERE,8,,,
29B,RUE DU BOURBONNAIS,8,,,
17,RUE JOUFFROY D ABBANS,8,,,
9,RUE JOUFFROY D ABBANS,8,,,
20,RUE DES TUILERIES,7,,,
36,RUE DU BOURBONNAIS,7,,,
46,RUE DU BOURBONNAIS,7,,,
13,RUE JOUFFROY D ABBANS,7,,,
15,RUE JOUFFROY D ABBANS,7,,,
2,RUE JOUFFROY D ABBANS,7,,,
4,RUE JOUFFROY D ABBANS,7,,,
16,RUE SERGENT MICHEL BERTHET,7,,,
15,RUE DE L OISELIERE,6,,,
12,RUE DES TUILERIES,6,,,
11,RUE JOUFFROY D ABBANS,6,,,
4,PASSAGE MAS,5,,,
10,RUE DES TUILERIES,5,,,
8,RUE DES TUILERIES,5,,,
7,RUE DU BOURBONNAIS,5,,,
7,RUE JOUFFROY D ABBANS,5,,,
8,RUE JOUFFROY D ABBANS,5,,,
33,RUE MARIETTON,5,,,
6,PASSAGE MAS,4,,,
1,PLACE FERBER,4,,,
3,PLACE FERBER,4,,,
21,RUE DOCTEUR HORAND,4,,,
26,RUE DU BOURBONNAIS,4,,,
50,RUE DU BOURBONNAIS,4,,,
22,RUE JOUFFROY D ABBANS,4,,,
4,RUE SERGENT MICHEL BERTHET,4,,,
11,RUE DE L OISELIERE,3,,,
9,RUE DE L OISELIERE,3,,,
32,RUE DES TUILERIES,3,,,
15,RUE DU BOURBONNAIS,3,,,
12,RUE JOUFFROY D ABBANS,3,,,
18,RUE JOUFFROY D ABBANS,3,,,
3,RUE JOUFFROY D ABBANS,3,,,
45,RUE MARIETTON,3,,,
10,RUE SERGENT MICHEL BERTHET,3,,,
24C,RUE DES TUILERIES,2,,,
30,RUE DES TUILERIES,2,,,
15,RUE DOCTEUR HORAND,2,,,
17,RUE DOCTEUR HORAND,2,,,
11,RUE DU BOURBONNAIS,2,,,
29A,RUE DU BOURBONNAIS,2,,,
20,RUE JOUFFROY D ABBANS,2,,,
5,RUE JOUFFROY D ABBANS,2,,,
31,RUE MARIETTON,2,,,
6,PLACE DU MARCHE,1,,,
2,PLACE FERBER,1,,,
5,PLACE FERBER,1,,,
17,RUE DE L OISELIERE,1,,,
14B,RUE DES TUILERIES,1,,,
18C,RUE DES TUILERIES,1,,,
34,RUE DES TUILERIES,1,,,
23B,RUE DU BOURBONNAIS,1,,,
27F,RUE DU BOURBONNAIS,1,,,
27H,RUE DU BOURBONNAIS,1,,,
29C,RUE DU BOURBONNAIS,1,,,
9,RUE DU BOURBONNAIS,1,,,
1,RUE JOUFFROY D ABBANS,1,,,
37,RUE MARIETTON,1,,,
39,RUE MARIETTON,1,,,
16B,RUE SERGENT MICHEL BERTHET,1,,,
6,RUE SERGENT MICHEL BERTHET,1,,,
