N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
359,AVENUE DE CHAMPAGNE,67,,,
7,BOULEVARD DE BALMONT,53,,,
201,RUE MARCEL CERDAN,39,,,
204,RUE MARCEL CERDAN,39,,,
202,RUE MARCEL CERDAN,36,,,
203,RUE MARCEL CERDAN,33,,,
3,BOULEVARD DE BALMONT,31,,,
200,RUE MARCEL CERDAN,30,,,
12,PLACE GISELE HALIMI,27,,,
5,RUE DE JERICHO,24,,,
2,AVENUE ROSA PARKS,23,,,
14,PLACE GISELE HALIMI,23,,,
5,RUE MARCEL CERDAN,23,,,
1,PLACE GISELE HALIMI,22,,,
10,PLACE GISELE HALIMI,22,,,
6,RUE MARCEL CERDAN,21,,,
2,RUE VICTOR SCHOELCHER,21,,,
3,RUE ARTHUR RIMBAUD,20,,,
2,RUE EDITH PIAF,20,,,
300,AVENUE ANDREI SAKHAROV,19,,,
360,AVENUE DE CHAMPAGNE,19,,,
8,AVENUE ROSA PARKS,19,,,
7,PLACE GISELE HALIMI,17,,,
362,AVENUE DE CHAMPAGNE,16,,,
10,RUE MARCEL CERDAN,14,,,
4,ALLEE EDITH PIAF,13,,,
4,RUE MARCEL CERDAN,11,,,
2,RUE MARCEL CERDAN,10,,,
5,RUE VICTOR SCHOELCHER,10,,,
4,AVENUE ROSA PARKS,9,,,
1,RUE ARTHUR RIMBAUD,9,,,
353,RUE DOYEN GEORGES CHAPAS,9,,,
8,RUE MAURICE BEJART,9,,,
352,RUE DOYEN GEORGES CHAPAS,8,,,
6,RUE MAURICE BEJART,8,,,
14,AVENUE ROSA PARKS,7,,,
6,RUE MOULOUDJI,7,,,
354,RUE DOYEN GEORGES CHAPAS,6,,,
20,AVENUE DE CHAMPAGNE,5,,,
6,AVENUE ROSA PARKS,5,,,
355,RUE DOYEN GEORGES CHAPAS,5,,,
12,AVENUE ROSA PARKS,4,,,
350,RUE DOYEN GEORGES CHAPAS,4,,,
351,RUE DOYEN GEORGES CHAPAS,4,,,
4,RUE MAURICE BEJART,4,,,
2,RUE MOULOUDJI,4,,,
4,RUE MOULOUDJI,4,,,
358,AVENUE DE CHAMPAGNE,2,,,
364,AVENUE DE CHAMPAGNE,2,,,
5,RUE VICTOR MUHLSTEIN,2,,,
1,SQUARE AVERROES,2,,,
12,BOULEVARD DE BALMONT,1,,,
323,MONTEE DE BALMONT,1,,,
2,RUE ARTHUR RIMBAUD,1,,,
4,RUE ARTHUR RIMBAUD,1,,,
272,RUE VICTOR SCHOELCHER,1,,,
273,RUE VICTOR SCHOELCHER,1,,,
4,RUE VICTOR SCHOELCHER,1,,,
