N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
1,RUE CARDINAL GERLIER,36,,,
5,RUE CARDINAL GERLIER,34,,,
11,RUE CARDINAL GERLIER,33,,,
15,RUE CARDINAL GERLIER,31,,,
1,RUE JEAN PREVOST,30,,,
36,RUE PAULINE MARIE JARICOT,25,,,
3,RUE CARDINAL GERLIER,23,,,
38,RUE PAULINE MARIE JARICOT,21,,,
40,RUE ROGER RADISSON,20,,,
7,RUE CARDINAL GERLIER,20,,,
44,RUE PAULINE MARIE JARICOT,19,,,
125,RUE PIERRE AUDRY,19,,,
14,RUE PAULINE MARIE JARICOT,19,,,
22,RUE PAULINE MARIE JARICOT,18,,,
13,RUE CARDINAL GERLIER,18,,,
16,RUE PAULINE MARIE JARICOT,18,,,
123,RUE PIERRE AUDRY,17,,,
48,RUE DE TRION,16,,,
4,RUE PAULINE MARIE JARICOT,16,,,
46,RUE PAULINE MARIE JARICOT,15,,,
12,RUE PAULINE MARIE JARICOT,15,,,
42,RUE PAULINE MARIE JARICOT,14,,,
54,RUE PAULINE MARIE JARICOT,14,,,
32,RUE PAULINE MARIE JARICOT,14,,,
121,RUE PIERRE AUDRY,12,,,
32,RUE DE TRION,12,,,
52,RUE PAULINE MARIE JARICOT,12,,,
8,RUE PAULINE MARIE JARICOT,12,,,
50,RUE ROGER RADISSON,11,,,
2,MONTEE DE LOYASSE,11,,,
21,RUE ROGER RADISSON,11,,,
19,MONTEE DU TELEGRAPHE,10,,,
27,RUE ROGER RADISSON,10,,,
28,RUE PAULINE MARIE JARICOT,10,,,
14,RUE DE TRION,10,,,
2,RUE PAULINE MARIE JARICOT,10,,,
20,RUE PAULINE MARIE JARICOT,10,,,
10,RUE PAULINE MARIE JARICOT,9,,,
18,RUE PAULINE MARIE JARICOT,9,,,
34,RUE PAULINE MARIE JARICOT,9,,,
40,RUE PAULINE MARIE JARICOT,9,,,
80,RUE DE TRION,8,,,
64,RUE DE TRION,8,,,
50,RUE PAULINE MARIE JARICOT,8,,,
6,RUE PAULINE MARIE JARICOT,8,,,
48,RUE PAULINE MARIE JARICOT,8,,,
22,RUE DE TRION,7,,,
10,RUE DE TRION,7,,,
30,RUE PAULINE MARIE JARICOT,7,,,
42,RUE ROGER RADISSON,7,,,
46,RUE ROGER RADISSON,6,,,
68,RUE DE TRION,5,,,
74,RUE DE TRION,5,,,
8,MONTEE DU TELEGRAPHE,5,,,
36,RUE DE TRION,5,,,
44,RUE DE TRION,4,,,
66,RUE DE TRION,4,,,
3,MONTEE DE LOYASSE,4,,,
42,RUE CARDINAL GERLIER,4,,,
12,RUE DE TRION,4,,,
117,RUE PIERRE AUDRY,4,,,
4B,RUE CARDINAL GERLIER,3,,,
6,RUE CARDINAL GERLIER,3,,,
26,RUE DE TRION,3,,,
72,RUE DE TRION,3,,,
1,MONTEE DE LOYASSE,3,,,
9,RUE CARDINAL GERLIER,2,,,
1,RUE PAULINE MARIE JARICOT,2,,,
70,RUE DE TRION,2,,,
22B,RUE PAULINE MARIE JARICOT,2,,,
10,RUE CARDINAL GERLIER,2,,,
18,RUE DE TRION,2,,,
28,RUE DE TRION,2,,,
22,RUE CARDINAL GERLIER,2,,,
24,RUE PAULINE MARIE JARICOT,2,,,
13,RUE ROGER RADISSON,2,,,
4,RUE CARDINAL GERLIER,2,,,
44,RUE CARDINAL GERLIER,2,,,
8,RUE DE TRION,2,,,
12,RUE CARDINAL GERLIER,2,,,
24,RUE DE TRION,1,,,
3,RUE JEAN PREVOST,1,,,
43,RUE CARDINAL GERLIER,1,,,
34,RUE DE TRION,1,,,
14,RUE CARDINAL GERLIER,1,,,
76,RUE DE TRION,1,,,
24,RUE CARDINAL GERLIER,1,,,
78,RUE DE TRION,1,,,
1,PLACE PERE FRANCOIS VARILLON,1,,,
