N° rue,Nom rue,Nb electeurs,Ouvertes,Frappées,Total par BV (ouvertes/frappées)
23,RUE BOURGET,88,,,
2,RUE MASARYK,58,,,
18,RUE DE LA CLAIRE,55,,,
16,RUE MASARYK,52,,,
45,RUE DE SAINT CYR,43,,,
29,RUE DE SAINT CYR,40,,,
5,RUE DES MARINIERS,39,,,
14,QUAI JAYR,33,,,
3,RUE DES MARINIERS,31,,,
12,RUE DE LA CLAIRE,30,,,
17,QUAI DU COMMERCE,29,,,
47,RUE DE SAINT CYR,29,,,
3,RUE TRANSVERSALE,29,,,
27,RUE DE SAINT CYR,24,,,
18,QUAI JAYR,23,,,
22,QUAI JAYR,23,,,
16,QUAI JAYR,21,,,
13,RUE DE LA CLAIRE,20,,,
15,RUE DE LA CLAIRE,20,,,
18,RUE DE SAINT CYR,20,,,
6,RUE RHIN ET DANUBE,20,,,
25,RUE DE LA CLAIRE,17,,,
16,RUE DE SAINT CYR,17,,,
6,RUE MASARYK,17,,,
4,RUE RHIN ET DANUBE,17,,,
8,RUE TRANSVERSALE,16,,,
8,RUE DE LA CLAIRE,14,,,
20,QUAI DE LA GARE D EAU,13,,,
24,RUE DE SAINT CYR,13,,,
41,RUE DE SAINT CYR,13,,,
20,RUE MASARYK,13,,,
4,RUE MASARYK,13,,,
21,RUE DE LA CLAIRE,12,,,
20,RUE DE SAINT CYR,12,,,
26,RUE MASARYK,12,,,
15,RUE TRANSVERSALE,12,,,
33,RUE DE LA CLAIRE,11,,,
28,RUE MASARYK,11,,,
13,RUE TRANSVERSALE,11,,,
26,RUE DE SAINT CYR,10,,,
33,RUE DE SAINT CYR,10,,,
35,RUE DE SAINT CYR,10,,,
16,QUAI DU COMMERCE,9,,,
20,QUAI JAYR,9,,,
10,RUE MASARYK,9,,,
14,RUE DE LA CLAIRE,8,,,
1,RUE TRANSVERSALE,8,,,
29,RUE DE LA CLAIRE,7,,,
31,RUE DE LA CLAIRE,7,,,
31B,RUE DE LA CLAIRE,7,,,
31,RUE DE SAINT CYR,7,,,
24,RUE MASARYK,7,,,
11,RUE TRANSVERSALE,7,,,
22,RUE MASARYK,6,,,
9,RUE TRANSVERSALE,6,,,
23B,RUE BOURGET,5,,,
19,RUE DE LA CLAIRE,5,,,
43,RUE DE SAINT CYR,5,,,
7,RUE TRANSVERSALE,5,,,
11,RUE DE LA CLAIRE,4,,,
28,RUE DE SAINT CYR,4,,,
26B,RUE MASARYK,4,,,
18,RUE MASARYK,3,,,
7,RUE DE LA CLAIRE,2,,,
37,RUE DE SAINT CYR,2,,,
37B,RUE DE SAINT CYR,2,,,
4,Q RUE MASARYK,1,,,
22B,QUAI JAYR,1,,,
23A,RUE BOURGET,1,,,
3,RUE DE LA CLAIRE,1,,,
22,RUE DE SAINT CYR,1,,,
5,RUE TRANSVERSALE,1,,,
